player1	player2	player3	player4	player5
201145	203115	203932	203999	1628420
101108	203109	1626164	1628969	1629028
201144	202711	203497	1626220	1628378
201143	203935	1627759	1628369	1629057
201976	1626156	1626157	1629020	1630162
202692	203095	203944	1629011	1629628
202689	203095	203944	1629011	1629628
1628964	1628976	1630175	1630532	1630591
200768	200782	202710	1628389	1629130
202330	203486	1626179	1628970	1630163
203493	203939	1627827	1628973	1629029
201569	1626174	1629645	1630224	1630256
201939	203110	203952	1626172	1629673
202685	1627742	1628404	1628984	1630529
1627783	1627832	1628384	1629018	1630567
201950	203114	203507	1626171	1628960
203486	1626179	1628970	1629023	1630163
201935	202699	203954	1629680	1630178
203078	203484	203915	1628398	1629655
203926	1627749	1627751	1628401	1629640
203081	203468	203496	203994	1626181
202709	203924	1630180	1630191	1630595
203924	1630165	1630180	1630191	1630595
202699	203552	203954	1629680	1630178
1628983	1629647	1629652	1630526	1630581
201942	202696	203897	1629750	1630245
201980	202699	203552	203954	1630178
203991	203992	1628381	1629027	1629631
201568	203991	1628989	1629027	1629631
200752	201144	203497	203903	204060
1628374	1628386	1629636	1630171	1630596
201587	202694	202704	1627826	1629599
202355	202711	203903	1626220	1628378
203500	1628991	1629630	1630217	1630533
203920	1627783	1627832	1629018	1630567
203500	1626145	1628415	1628991	1630217
201587	202694	202704	1627826	1629611
203991	1628381	1628989	1629027	1629631
1626174	1628464	1629645	1630224	1630256
201142	201933	201935	203925	1628971
203115	203932	203999	1628420	1629008
203500	1628991	1629001	1629630	1630217
201587	202331	202339	202704	1627826
203991	203992	1628381	1628989	1629027
203914	1628964	1628976	1630175	1630532
200782	202710	1628389	1629130	1629216
1627832	1628384	1629018	1630173	1630567
1628977	1630165	1630180	1630191	1630595
1626156	1626157	1629020	1630162	1630183
201145	203085	203932	203999	1628420
201942	202696	203897	1628366	1629750
1627783	1627832	1629018	1630173	1630567
203926	1627749	1627751	1629640	1630170
203991	1627789	1628381	1628989	1629027
1626167	1627734	1627747	1627763	1630537
203486	1626179	1628970	1628998	1630163
203939	1627827	1628467	1628973	1629029
202685	203468	1627742	1629637	1630529
203109	1626164	1626166	1628969	1629028
202066	202685	1628404	1628984	1629638
201142	202681	203083	203552	1628971
203991	203992	1628989	1629027	1629631
203468	203496	203994	1626181	1629014
1626174	1629645	1629726	1630224	1630256
101108	201580	203109	1626164	1628969
1628983	1629652	1630526	1630581	1630598
202355	202711	204060	1626220	1628378
203085	203115	203932	203999	1628420
202709	1628977	1630180	1630191	1630595
203078	203484	203915	1626149	1628398
203107	203484	204001	1629060	1630557
203500	203937	1629001	1629630	1630533
201144	203497	203903	204060	1629672
101150	201568	203992	1626153	1630168
203084	203200	1626168	1627745	1630558
101108	203109	1628969	1629013	1629028
200782	202710	1628389	1629130	1629639
1626145	1628991	1629634	1629723	1630217
202326	203085	203210	1627854	1630538
1629645	1629726	1630224	1630256	1630578
203500	1628415	1628991	1629630	1630217
203935	1627759	1628369	1629057	1629684
1628386	1629636	1629731	1630171	1630596
203926	1627749	1628401	1629234	1629640
203084	203090	1626158	1628368	1630169
201942	202696	203897	1629632	1629750
202324	1628983	1629647	1629652	1630581
1626156	1626157	1627736	1630162	1630183
1627783	1627832	1628449	1629018	1630567
1626156	1626157	1627736	1629020	1630162
201143	203471	203935	1628369	1629057
203501	203939	204001	1627827	1629029
203473	1628997	1629216	1629622	1629639
203493	1627827	1628467	1628973	1629029
1628964	1628976	1630175	1630181	1630532
202685	203468	1628984	1629637	1630529
201569	1626174	1629717	1629726	1630256
203486	1626162	1626179	1628970	1630163
201976	1626157	1627736	1629020	1630162
200768	200782	203473	1629130	1629639
202685	1627742	1628984	1629638	1630529
201942	202696	203897	1627936	1628366
203501	203939	1627827	1628973	1629029
203991	1627789	1628989	1629027	1629631
200746	201142	201935	201988	1627761
1626179	1628970	1628998	1629023	1630163
1628374	1628386	1629636	1630205	1630596
201942	202696	203897	1627936	1630245
203200	1626167	1627734	1627747	1627763
202709	203924	1628963	1630180	1630595
204001	1627827	1628467	1628973	1629029
201565	201959	202692	1630167	1630193
2544	201566	202340	1626169	1628370
202689	203095	203457	203944	1629628
1627749	1627751	1628401	1629640	1630170
201143	203471	203935	1628369	1629684
201144	202711	203497	204060	1626220
101108	202687	1626164	1628969	1629661
1627747	1628374	1629636	1630171	1630596
201587	202331	202694	202704	1627826
201939	203490	203952	1626172	1629673
1628964	1629643	1630175	1630181	1630532
203500	203937	1626145	1628415	1629001
202709	203924	1628977	1630180	1630191
202699	203954	1627788	1629680	1630178
1627749	1627751	1629640	1630170	1630563
202330	1626179	1628970	1629023	1630163
203084	203200	1626168	1627734	1628368
202711	203497	203903	1626220	1628378
202330	203486	1626162	1628970	1630163
1626174	1629645	1629726	1630224	1630231
201939	202691	203490	203952	1626172
203200	1626167	1627734	1627763	1630537
201145	203115	203932	203999	1630538
202689	203095	203944	1629011	1629656
201959	202689	203095	203944	1629628
1627749	1627751	1628401	1629022	1629640
203914	1628976	1629643	1630175	1630532
201145	203115	203210	203932	1628420
1627741	1627763	1629052	1630169	1630543
203468	203496	203994	1629014	1629642
201976	1626156	1626157	1630162	1630183
101108	1626164	1628969	1629661	1630188
2544	201566	1626169	1628370	1630559
203109	1626166	1628969	1629013	1629028
200752	201144	203497	203903	1627863
202711	203497	204060	1626220	1628378
201144	202355	202711	1626220	1628378
201976	1626157	1627736	1630162	1630183
201935	201980	202699	203954	1630178
201569	1626174	1629645	1629726	1630256
101150	201568	203991	1626153	1629629
203484	203526	1628398	1629655	1630557
203484	203526	1628398	1628418	1630557
203078	203484	203526	1628398	1629655
203463	203496	203994	1629014	1629642
203496	1628379	1628392	1629599	1629611
1626196	1627749	1627751	1629640	1630170
203084	203090	1626158	1630169	1630558
203484	203526	204001	1628398	1630557
201568	203992	1626153	1628989	1630168
1626168	1628977	1630165	1630180	1630595
1626162	1626179	1628970	1629023	1630163
203468	203503	1626204	1629014	1629642
202696	203897	1628972	1629632	1630245
200768	200782	203473	1629130	1629216
1627749	1627751	1629022	1629640	1630170
200782	202710	203473	1629130	1629639
203200	1626167	1626208	1627734	1630613
202066	202685	1627742	1628984	1630529
203084	1626158	1628368	1629002	1630169
1628374	1629636	1630171	1630205	1630596
203109	1626164	1628969	1629028	1629661
203115	203932	203999	1628420	1630538
203084	203090	203200	1627734	1628368
2546	201566	202340	203076	1628370
203914	1628964	1628976	1630532	1630591
201942	203897	1627936	1628366	1628396
101108	203109	1626163	1626164	1628969
202694	202704	1627826	1628379	1629611
203083	1627777	1627788	1629003	1629680
1628374	1628386	1629012	1629636	1630596
201143	1627759	1628369	1628401	1629684
203084	1626158	1627741	1628368	1630169
203078	203526	1626149	1628398	1630166
203471	203935	1627759	1628369	1629057
202692	203095	1629628	1630167	1630579
202685	1628404	1628984	1629638	1630529
203082	203914	1629021	1629643	1630591
201942	202696	203897	1627884	1628366
1626149	1626162	1626179	1628970	1628998
201143	203471	1627759	1628369	1629057
202339	1628379	1628392	1629611	1630527
1627747	1628374	1629636	1629650	1630171
203994	1626159	1628404	1629014	1629604
202709	1628963	1630180	1630191	1630595
201959	202692	203095	203944	1629628
201942	202696	203897	1628366	1630172
202692	203095	203457	203944	1629628
201572	201950	202083	203114	203507
201959	202692	1629656	1630167	1630193
101108	201580	1626164	1628969	1629661
201980	202699	203552	203954	1629003
1628381	1628989	1629027	1629631	1630168
2544	2546	201566	1628370	1630559
202331	202339	202694	202704	1627826
201942	202696	203897	1629632	1630245
200768	200782	1628389	1629130	1629639
201976	1627736	1629020	1629675	1630162
202330	203486	1626179	1628970	1628998
201580	1626164	1626166	1629013	1629661
201143	203935	1627759	1628369	1629684
203081	203496	203994	1626181	1629014
202355	202711	1626220	1628378	1630235
203500	203937	1629001	1629630	1630217
202685	203468	1627742	1628984	1630529
202709	1626168	1628402	1628977	1630180
201588	203114	203507	1626171	1628960
201143	203935	1627759	1628369	1628464
201568	203991	203992	1628989	1629027
202066	1626195	1628404	1628984	1630529
201142	201933	201935	201988	1628971
201569	1629726	1630231	1630528	1630578
203084	203458	1628368	1628963	1630169
1626174	1629645	1630224	1630256	1630578
201588	203114	203507	1626192	1628960
201939	202691	203952	1626172	1630228
203500	203937	1628991	1629630	1630217
201566	202340	203076	1626169	1628370
202692	203095	203944	1629628	1630579
201950	203114	203507	1626171	1626192
201580	1626166	1628969	1629013	1629661
201980	202699	203954	1629680	1630178
203920	1627783	1627832	1628384	1629018
201950	203114	1626171	1626192	1628960
202685	1627742	1628404	1628984	1629638
203493	203501	203939	1627827	1629029
202331	202704	1627826	1628379	1629611
203084	1627745	1628368	1628963	1630169
202692	203095	1629011	1629628	1630167
1628983	1629647	1629676	1630544	1630598
201577	203914	1629643	1630175	1630532
201565	202692	1629011	1630167	1630193
203115	203210	203932	203999	1628420
201568	203992	1626153	1629027	1630168
201942	202696	203897	1627936	1629750
202696	203897	1627884	1628366	1630245
202397	1629655	1630166	1630264	1630557
201950	203114	203507	1626192	1628960
2546	201566	202340	203076	1629659
202684	203084	1627741	1629002	1630169
203484	203915	1628398	1628988	1629655
202397	1629060	1629655	1630166	1630557
201143	203471	1626196	1628369	1629684
203081	203994	1626181	1626204	1629642
200768	200782	202710	1628389	1629622
202692	203944	1629011	1629628	1630193
201569	1626174	1629726	1630224	1630256
202691	203110	203952	1626172	1629673
202324	1628983	1629652	1630526	1630581
1628369	1628401	1628464	1629684	1630202
200768	202710	1628997	1629639	1630209
201144	202711	1626220	1628378	1628962
201935	202699	203954	1627777	1630178
1626156	1627736	1627752	1629675	1630183
1630165	1630180	1630191	1630587	1630595
202684	203084	1627741	1628368	1630558
200768	200782	202710	1628389	1629639
202339	202694	1627826	1628379	1629611
203471	1629726	1630231	1630528	1630578
203468	203469	1626204	1629014	1629642
1626164	1626166	1628470	1628969	1629028
1627783	1628449	1629018	1630173	1630567
201939	202691	203952	1626172	1630541
201939	203110	203490	203952	1629673
203082	203914	1628964	1629643	1630591
201976	1626157	1629020	1630162	1630183
201942	202696	1629632	1629750	1630245
1627749	1627751	1628966	1629022	1630563
203484	203526	1628398	1629655	1630166
202699	203552	203954	1627788	1630178
203501	204001	1627827	1628973	1629029
203920	1627783	1629018	1630201	1630567
201950	203507	1626171	1626192	1628960
201935	201988	202681	1630549	1630556
203200	1626167	1627734	1627747	1630537
1627751	1629640	1630170	1630200	1630563
201942	202696	1628972	1629632	1630245
201980	202699	203083	203552	1630178
200752	203497	203903	204060	1630235
1628389	1628997	1629216	1629622	1629639
201569	1626174	1628464	1630224	1630256
203082	203914	1628976	1629643	1630175
201145	203115	203999	1628420	1628432
203463	203994	1626159	1629014	1629604
202696	203897	1629632	1629750	1630245
200765	201567	1626224	1630205	1630596
