GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201144-202711-203497-1626220-1628378-	M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell	1610612762	UTA	28	21	7	0.75	445.6716666666667	401	795	0.504	158	379	0.417	178	230	0.774	86	333	419	223	121.0	70	48	38	145	205	1138	129.0	2	2	9369	3437	1	1	1	2602	1	1	2554	1	1	2744	1	1	1	2	9417	1	1	9418	9417	1	1	2
Lineups	-101108-203109-1626164-1628969-1629028-	C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton	1610612756	PHX	19	15	4	0.789	381.59833333333336	355	717	0.495	89	235	0.379	97	117	0.829	64	286	350	212	88.0	55	26	27	143	123	896	26.0	9	6	9108	3424	2	2	2	3867	4	4	2831	3	3	2515	5	2	2	3	9416	3	8	9412	9416	4	2	41
Lineups	-201939-203110-203952-1626172-1629673-	S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	29	23	6	0.793	346.5966666666667	310	628	0.494	102	266	0.383	107	153	0.699	77	270	347	226	131.0	62	47	31	149	131	829	51.0	1	1	9336	3423	3	3	3	3872	2	2	2818	2	2	3189	2	3	3	1	9418	2	2	9415	9418	2	3	7
Lineups	-202689-203095-203944-1629011-1629628-	K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett	1610612752	NYK	17	10	7	0.588	316.81166666666667	244	581	0.42	96	260	0.369	77	116	0.664	68	221	289	134	87.0	36	33	29	99	124	661	-73.0	13	15	9369	3930	4	5	4	4669	3	3	2908	8	4	3459	4	4	4	7	9415	10	4	9413	9412	3	4	9415
Lineups	-203081-203468-203496-203994-1626181-	D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell	1610612757	POR	17	9	8	0.529	274.2133333333333	249	531	0.469	85	229	0.371	77	107	0.72	56	208	264	158	68.0	50	31	22	90	102	660	7.0	13	27	9389	3973	5	4	5	4016	5	5	2903	8	6	3119	6	5	5	5	9411	5	5	9406	9410	6	5	704
Lineups	-201145-203115-203932-203999-1628420-	J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	14	7	7	0.5	252.47833333333332	241	455	0.53	61	156	0.391	82	103	0.796	34	187	221	170	60.0	27	21	26	73	95	625	44.0	40	72	9369	3975	8	6	8	2476	8	11	2787	5	7	2674	22	8	10	4	9406	19	12	9411	9406	7	6	10
Lineups	-202330-203486-1626179-1628970-1630163-	G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball	1610612766	CHA	21	11	10	0.524	257.7216666666667	231	521	0.443	84	219	0.384	52	79	0.658	55	190	245	152	59.0	53	18	22	96	76	598	-14.0	5	11	9407	3974	7	7	6	4370	6	6	2817	23	13	3461	7	7	7	6	9405	4	18	9406	9411	14	7	9253
Lineups	-203078-203484-203915-1628398-1629655-	B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford	1610612764	WAS	21	10	11	0.476	261.09166666666664	206	482	0.427	51	183	0.279	70	85	0.824	54	204	258	125	77.0	38	43	29	99	87	533	-50.0	5	15	9413	4878	6	8	7	4627	14	8	3855	11	11	2519	8	6	6	8	9412	7	3	9413	9412	9	8	9414
Lineups	-202685-1627742-1628404-1628984-1630529-	J. Valanciunas - B. Ingram - J. Hart - D. Graham - H. Jones	1610612740	NOP	16	9	7	0.563	243.09333333333333	196	428	0.458	45	139	0.324	96	112	0.857	51	180	231	123	67.0	42	21	25	107	105	533	21.0	20	27	9369	3956	9	10	10	4144	19	14	3656	4	5	2312	9	9	8	9	9410	6	12	9410	9415	5	8	66
Lineups	-203991-203992-1628381-1629027-1629631-	C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter	1610612737	ATL	11	3	8	0.273	214.45	200	401	0.499	50	116	0.431	58	80	0.725	49	148	197	114	54.0	27	14	21	80	86	508	5.0	71	392	9389	5296	13	9	12	3863	15	22	2464	15	12	3114	11	14	14	11	9402	19	29	9403	9408	10	10	1095
