GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201144-202711-203497-1626220-1628378-	M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell	1610612762	UTA	27	20	7	0.741	427.48833333333334	383	764	0.501	146	362	0.403	174	223	0.78	84	318	402	212	117.0	67	45	38	137	195	1086	112.0	1	2	8679	3252	1	1	1	2412	1	1	2408	1	1	2492	1	1	1	2	8722	1	2	8723	8721	1	1	2
Lineups	-101108-203109-1626164-1628969-1629028-	C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton	1610612756	PHX	19	15	4	0.789	381.59833333333336	355	717	0.495	89	235	0.379	97	117	0.829	64	286	350	212	88.0	55	26	27	143	123	896	26.0	7	6	8441	3149	2	2	2	3574	4	4	2624	3	3	2320	5	2	2	2	8721	3	8	8717	8722	4	2	40
Lineups	-201939-203110-203952-1626172-1629673-	S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	27	22	5	0.815	340.83	303	615	0.493	101	264	0.383	104	149	0.698	77	266	343	220	130.0	61	46	29	147	128	811	50.0	1	1	8582	3097	3	3	3	3579	2	2	2612	2	2	2949	2	3	3	1	8723	2	1	8719	8723	2	3	7
Lineups	-202689-203095-203944-1629011-1629628-	K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett	1610612752	NYK	17	10	7	0.588	316.81166666666667	244	581	0.42	96	260	0.369	77	116	0.664	68	221	289	134	87.0	36	33	29	99	124	661	-73.0	13	13	8679	3622	4	5	4	4311	3	3	2695	6	4	3188	4	4	4	6	8720	8	4	8719	8719	3	4	8720
Lineups	-203081-203468-203496-203994-1626181-	D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell	1610612757	POR	17	9	8	0.529	274.2133333333333	249	531	0.469	85	229	0.371	77	107	0.72	56	208	264	158	68.0	50	31	22	90	102	660	7.0	13	22	8695	3659	5	4	5	3706	5	5	2690	6	5	2879	6	5	5	5	8716	4	5	8713	8717	5	5	655
Lineups	-201145-203115-203932-203999-1628420-	J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	13	6	7	0.462	250.61166666666668	238	452	0.527	61	156	0.391	82	103	0.796	34	184	218	167	60.0	26	21	26	73	95	619	38.0	46	104	8679	4539	6	6	7	2321	8	11	2583	4	6	2469	22	7	8	4	8713	21	11	8716	8711	6	6	15
Lineups	-203078-203484-203915-1628398-1629655-	B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford	1610612764	WAS	20	10	10	0.5	242.65833333333333	185	447	0.414	47	174	0.27	63	77	0.818	51	190	241	115	71.0	34	41	28	94	79	480	-55.0	5	13	8714	3661	7	9	8	4372	16	9	3611	11	12	2330	7	6	6	9	8717	11	3	8718	8718	10	10	8719
Lineups	-203924-1630165-1630180-1630191-1630595-	J. Grant - K. Hayes - S. Bey - I. Stewart - C. Cunningham	1610612765	DET	15	4	11	0.267	231.86666666666667	169	441	0.383	55	161	0.342	61	74	0.824	71	159	230	108	80.0	32	27	31	105	67	454	-88.0	26	219	8719	4921	8	11	9	4816	10	10	2782	12	15	2323	3	12	7	11	8719	13	6	8721	8720	16	12	8722
Lineups	-202330-203486-1626179-1628970-1630163-	G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball	1610612766	CHA	19	10	9	0.526	225.36166666666668	194	455	0.426	68	189	0.36	48	70	0.686	49	164	213	128	51.0	48	16	19	80	69	504	-24.0	7	13	8705	3660	9	8	6	4272	6	6	2739	23	16	2966	8	10	9	7	8706	5	22	8706	8713	15	8	8693
Lineups	-201980-202699-203552-203954-1630178-	D. Green - T. Harris - S. Curry - J. Embiid - T. Maxey	1610612755	PHI	13	7	6	0.538	220.42333333333335	182	393	0.463	56	150	0.373	82	100	0.82	31	169	200	99	46.0	30	23	24	75	86	502	59.0	46	70	8651	3657	10	10	12	3748	9	12	2687	4	7	2329	23	8	12	13	8704	16	9	8714	8712	7	9	5
Lineups	-1628983-1629647-1629652-1630526-1630581-	S. Gilgeous-Alexander - D. Bazley - L. Dort - J. Robinson-Earl - J. Giddey	1610612760	OKC	19	8	11	0.421	216.385	167	409	0.408	49	176	0.278	55	65	0.846	37	168	205	95	58.0	37	27	37	58	61	438	-74.0	7	45	8719	4565	11	12	10	4408	14	7	3581	17	20	2184	15	9	11	18	8711	7	6	8722	8704	20	13	8721
Lineups	-203991-203992-1628381-1629027-1629631-	C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter	1610612737	ATL	11	3	8	0.273	214.45	200	401	0.499	50	116	0.431	58	80	0.725	49	148	197	114	54.0	27	14	21	80	86	508	5.0	70	367	8695	4920	12	7	11	3571	13	19	2285	15	11	2873	8	13	13	10	8708	18	29	8709	8713	7	7	1011
Lineups	-200752-201144-203497-203903-204060-	R. Gay - M. Conley - R. Gobert - J. Clarkson - J. Ingles	1610612762	UTA	20	16	4	0.8	192.80166666666668	166	355	0.468	68	176	0.386	72	90	0.8	46	160	206	99	59.0	22	17	9	60	86	472	76.0	5	5	8441	3098	13	13	14	3709	6	7	2590	9	9	2356	12	11	10	13	8712	26	19	8670	8705	7	11	4
Lineups	-202685-1627742-1628404-1628984-1630529-	J. Valanciunas - B. Ingram - J. Hart - D. Graham - H. Jones	1610612740	NOP	13	8	5	0.615	191.72	155	334	0.464	34	101	0.337	69	81	0.852	37	143	180	96	55.0	36	18	21	81	78	413	20.0	46	45	8582	3566	14	16	15	3742	32	29	2786	10	10	2174	15	14	15	15	8710	8	16	8709	8716	11	15	72
Lineups	-200768-200782-202710-1628389-1629130-	K. Lowry - P. Tucker - J. Butler - B. Adebayo - D. Robinson	1610612748	MIA	14	9	5	0.643	185.31	147	329	0.447	41	140	0.293	59	76	0.776	37	140	177	96	50.0	38	6	11	80	78	394	37.0	35	22	8582	3544	15	18	16	3934	22	13	3490	14	14	2534	15	16	16	15	8705	6	93	8678	8713	11	16	17
Lineups	-203926-1627749-1627751-1628401-1629640-	D. McDermott - D. Murray - J. Poeltl - D. White - K. Johnson	1610612759	SAS	15	7	8	0.467	179.74	165	367	0.45	39	121	0.322	54	77	0.701	47	127	174	117	38.0	34	17	17	60	62	423	7.0	26	70	8695	4536	16	14	13	3920	24	17	3405	18	12	2931	11	20	17	8	8693	11	19	8702	8705	19	14	655
Lineups	-201142-201933-201935-203925-1628971-	K. Durant - B. Griffin - J. Harden - J. Harris - B. Brown	1610612751	BKN	11	9	2	0.818	171.10833333333332	140	304	0.461	53	138	0.384	48	59	0.814	24	136	160	101	61.0	31	7	15	64	77	381	20.0	70	22	7249	3094	17	19	19	3800	11	14	2610	23	24	2350	34	18	22	12	8714	14	74	8696	8707	13	18	72
Lineups	-203115-203932-203999-1628420-1629008-	W. Barton - A. Gordon - N. Jokic - M. Morris - M. Porter Jr.	1610612743	DEN	9	5	4	0.556	169.91666666666666	156	305	0.511	36	109	0.33	28	44	0.636	28	141	169	96	64.0	24	11	9	53	63	376	37.0	122	141	8441	3647	18	15	18	2395	29	25	3397	47	37	3195	27	15	18	15	8715	24	39	8670	8699	18	19	17
Lineups	-202699-203552-203954-1629680-1630178-	T. Harris - S. Curry - J. Embiid - M. Thybulle - T. Maxey	1610612755	PHI	16	9	7	0.563	168.53333333333333	124	283	0.438	28	91	0.308	77	93	0.828	27	108	135	74	29.0	26	22	14	64	74	353	-40.0	18	22	8679	3645	19	30	25	4053	42	32	3427	6	8	2321	28	28	29	27	8680	21	10	8692	8707	14	25	8715
