PLAYER_ID	PLAYER_NAME	TEAM_ABBREVIATION	PTS	AST	REB	STL	BLK	DREB	OREB	TO	FGA	FGM	FG3M	FG3A	FTM	FTA	G
1630180	Saddiq Bey	DET	640	104	258	37	8	200	58	61	586	221	100	305	98	118	43
1628977	Hamidou Diallo	DET	392	45	172	47	15	133	39	42	323	164	15	57	49	79	36
1630191	Isaiah Stewart	DET	271	37	282	13	45	190	92	46	221	116	2	20	37	55	35
1630165	Killian Hayes	DET	203	120	99	39	14	83	16	50	216	74	27	91	28	33	33
1630595	Cade Cunningham	DET	525	179	187	44	19	158	29	125	499	197	73	225	58	69	34
202709	Cory Joseph	DET	249	123	68	23	5	57	11	45	184	83	31	72	52	62	32
1628367	Josh Jackson	DET	258	45	110	17	12	93	17	33	239	98	29	108	33	47	34
1626168	Trey Lyles	DET	387	48	191	16	17	141	50	38	289	128	32	115	99	127	40
1630240	Saben Lee	DET	135	62	64	25	11	55	9	23	120	46	12	44	31	41	24
203585	Rodney McGruder	DET	61	12	33	4	2	23	10	9	54	24	9	28	4	6	18
203482	Kelly Olynyk	DET	125	23	53	14	7	40	13	15	98	45	14	41	21	35	10
203952	Andrew Wiggins	GSW	739	79	169	37	24	126	43	64	560	275	90	213	99	144	40
1630228	Jonathan Kuminga	GSW	209	13	75	13	6	59	16	24	158	76	15	50	42	67	32
1626172	Kevon Looney	GSW	260	72	307	24	33	194	113	32	205	109	0	1	42	68	44
202691	Klay Thompson	GSW	76	11	15	4	2	13	2	9	69	26	13	36	11	11	5
201939	Stephen Curry	GSW	1042	241	215	59	19	191	24	133	798	337	196	508	172	188	40
1627780	Gary Payton II	GSW	317	33	149	55	9	103	46	22	208	132	29	72	24	41	41
203490	Otto Porter Jr.	GSW	308	64	197	42	17	159	38	20	252	116	58	146	18	26	38
202357	Nemanja Bjelica	GSW	283	71	174	26	14	136	38	48	235	103	40	114	37	54	44
1629673	Jordan Poole	GSW	641	126	114	32	9	104	10	91	504	220	95	280	106	117	38
1627814	Damion Lee	GSW	266	32	106	18	4	93	13	20	218	97	37	106	35	41	33
1629308	Juan Toscano-Anderson	GSW	203	85	123	32	14	101	22	47	160	79	16	58	29	49	42
1630541	Moses Moody	GSW	56	8	27	3	4	23	4	4	59	20	4	33	12	15	26
1629185	Chris Chiozza	GSW	46	39	27	8	0	19	8	21	57	16	13	37	1	1	23
2738	Andre Iguodala	GSW	100	93	79	21	17	62	17	19	99	38	13	60	11	14	24
1630162	Anthony Edwards	MIN	844	139	197	59	26	158	39	121	696	308	123	331	105	131	38
1629020	Jarred Vanderbilt	MIN	260	50	355	57	29	232	123	42	191	111	2	10	36	57	39
1626157	Karl-Anthony Towns	MIN	907	134	340	39	44	233	107	127	623	324	83	201	176	217	37
201976	Patrick Beverley	MIN	279	159	143	37	29	106	37	37	241	99	39	125	42	61	31
1626156	D'Angelo Russell	MIN	631	239	124	32	18	112	12	90	546	220	102	289	89	109	34
1627736	Malik Beasley	MIN	541	73	139	25	5	123	16	33	518	194	132	378	21	28	44
1630183	Jaden McDaniels	MIN	333	42	184	34	28	129	55	46	320	133	38	144	29	37	41
1629669	Jaylen Nowell	MIN	234	60	60	17	6	51	9	15	190	91	24	67	28	40	29
1629675	Naz Reid	MIN	361	31	166	19	41	106	60	41	284	131	35	102	64	87	41
1627752	Taurean Prince	MIN	148	28	67	14	7	54	13	19	134	51	27	87	19	25	33
1630233	Nathan Knight	MIN	78	14	55	4	7	35	20	12	47	24	2	7	28	40	22
1627774	Jake Layman	MIN	44	5	23	6	3	19	4	7	46	17	4	24	6	8	19
1629006	Josh Okogie	MIN	74	18	56	16	9	33	23	15	66	23	8	31	20	33	28
1630593	McKinley Wright IV	MIN	5	0	0	0	0	0	0	1	3	2	1	2	0	0	2
1629628	RJ Barrett	NYK	643	93	215	20	11	186	29	77	556	231	74	209	107	155	38
203944	Julius Randle	NYK	822	218	434	32	28	357	77	145	716	297	74	238	154	202	43
1629011	Mitchell Robinson	NYK	336	17	333	22	63	193	140	31	182	143	0	0	50	90	41
203095	Evan Fournier	NYK	596	79	122	37	11	102	20	57	512	216	118	299	46	62	43
202689	Kemba Walker	NYK	345	91	87	21	5	76	11	34	286	119	62	152	45	55	25
202692	Alec Burks	NYK	505	110	194	54	11	170	24	39	396	153	82	205	117	141	44
201959	Taj Gibson	NYK	105	20	127	13	25	79	48	21	82	41	4	15	19	27	28
1629656	Quentin Grimes	NYK	134	26	40	16	4	33	7	15	113	46	36	93	6	9	27
1630193	Immanuel Quickley	NYK	419	111	99	25	3	85	14	50	358	139	72	206	69	76	41
1630167	Obi Toppin	NYK	306	40	147	12	18	108	39	32	224	118	13	64	57	74	40
1630540	Miles McBride	NYK	38	21	16	8	1	14	2	3	54	15	5	28	3	4	18
1630579	Jericho Sims	NYK	15	1	22	2	5	14	8	2	8	6	0	0	3	4	14
1630529	Herbert Jones	NOP	373	76	151	59	39	102	49	43	288	143	27	67	60	74	41
1627742	Brandon Ingram	NOP	793	182	214	21	12	186	28	92	654	290	57	167	156	190	35
202685	Jonas Valanciunas	NOP	755	99	494	21	35	354	140	99	554	289	42	99	135	164	41
