1	James Harden	PG	32	BRK	38	38	36.9	6.6	15.6	.419	2.4	7.1	.341	4.1	8.5	.485	.497	7.2	8.3	.867	1.0	7.0	8.0	10.0	1.4	0.7	4.7	2.4	22.7
2	Chris Paul	PG	36	PHO	43	43	32.2	5.3	11.0	.476	0.9	2.9	.320	4.3	8.1	.531	.518	2.4	2.9	.840	0.3	4.0	4.3	10.0	1.9	0.3	2.3	2.2	13.9
3	Trae Young	PG	23	ATL	39	39	34.7	9.4	20.7	.453	2.7	7.4	.365	6.7	13.3	.502	.518	6.2	6.9	.903	0.7	3.3	3.9	9.4	1.0	0.1	4.1	1.7	27.7
4	Dejounte Murray	PG	25	SAS	39	39	34.4	8.0	17.8	.448	1.4	4.3	.331	6.6	13.5	.485	.488	1.7	2.4	.710	1.2	7.1	8.3	8.8	2.0	0.4	2.4	2.0	19.1
5	Kyle Lowry	PG	35	MIA	39	39	34.2	4.5	10.8	.412	2.1	6.4	.327	2.4	4.5	.534	.508	2.4	2.8	.847	0.6	3.8	4.5	8.3	1.0	0.4	3.1	2.8	13.4
6	Darius Garland	PG	22	CLE	39	39	34.5	7.4	15.9	.468	2.6	6.9	.370	4.9	8.9	.544	.549	2.3	2.5	.918	0.5	2.8	3.4	7.9	1.3	0.1	3.6	1.7	19.7
7	Russell Westbrook	PG	33	LAL	44	44	35.1	7.0	16.1	.436	1.0	3.5	.289	6.0	12.7	.476	.467	3.6	5.3	.668	1.4	6.7	8.1	7.9	1.1	0.3	4.3	3.1	18.6
8	LaMelo Ball	PG	20	CHO	37	37	31.9	7.0	16.7	.421	2.7	7.3	.369	4.3	9.4	.462	.502	2.6	2.9	.881	1.6	5.6	7.2	7.6	1.7	0.4	3.0	3.0	19.4
9	Draymond Green	PF	31	GSW	34	34	29.9	3.2	5.9	.537	0.4	1.2	.286	2.8	4.7	.604	.567	1.2	2.0	.597	1.1	6.4	7.6	7.4	1.4	1.2	3.1	2.8	7.9
10	Nikola Jokić	C	26	DEN	37	37	32.7	9.9	17.5	.566	1.5	4.1	.359	8.4	13.4	.630	.609	4.0	5.1	.782	2.7	11.2	13.9	7.4	1.3	0.8	3.6	2.5	25.3
11	Tyrese Haliburton	SG	21	SAC	43	43	34.0	5.2	11.0	.467	2.0	4.8	.429	3.1	6.3	.496	.560	1.4	1.7	.819	0.7	3.1	3.9	7.1	1.7	0.7	2.2	1.4	13.7
12	D'Angelo Russell	PG	25	MIN	34	34	32.4	6.5	16.1	.403	3.0	8.5	.353	3.5	7.6	.459	.496	2.6	3.2	.817	0.4	3.3	3.6	7.0	0.9	0.5	2.6	2.2	18.6
13	Jrue Holiday	PG	31	MIL	33	32	33.2	7.4	14.9	.499	1.8	4.8	.382	5.6	10.1	.554	.560	1.7	2.4	.709	0.9	3.7	4.6	6.7	1.6	0.6	2.8	1.8	18.4
14	Ja Morant	PG	22	MEM	33	33	32.3	9.1	18.6	.487	1.5	4.2	.355	7.6	14.4	.525	.527	4.8	6.2	.772	1.3	4.4	5.7	6.7	1.3	0.4	3.3	1.3	24.4
