PLAYER_NAME	PLAYER_IMG	TEAM	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/22	02/23	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	0	0	0	0	0	0	0	23	23	33	33	33	72	102	102	135	135	135	135	135	158	158	158	158	188	188	208	241	241	271	271	271	295	295	313	313	344	344	378	378	414	453	453	453	485	522	522	565	565	591	591	622	622	622	654	654	689	689	689	723	723	723	748	748	773	773	803	803	832	832	865	865	898	898	898	898	898	898	898	898	898	898	898	927	927	927	954	984	984	984	1010	1010	1010	1010	1043	1043	1043	1043	1043	1064	1064	1096	1096	1122	1122	1148	1148	1204	1204	1204	1204	1227	1227	1277	1277	1308	1338	1338	1357	1357	1393	1431	1431	1469	1469	1469	1469	1469	1469	1508	1508	1508	1508	1508	1546	1546	1546	1546	1546
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	0	0	33	33	52	75	75	75	75	75	102	102	123	123	162	162	162	189	189	189	219	247	247	247	271	271	271	302	302	353	353	387	387	421	421	421	421	421	421	421	421	421	421	421	421	421	454	454	482	482	508	508	547	547	576	576	604	632	632	659	659	659	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	671	702	702	702	739	739	753	753	778	778	778	831	831	850	873	873	911	911	911	948	948	983	983	983	1006	1033	1033	1074	1074	1100	1100	1155	1155	1173	1205
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	20	20	34	59	59	78	78	90	90	116	116	147	167	196	196	221	221	244	244	244	254	254	254	254	278	278	287	295	295	314	314	314	337	337	351	351	371	371	393	393	423	436	436	436	460	476	476	491	491	511	511	530	530	530	539	539	545	545	545	553	553	553	572	572	587	587	601	601	619	619	643	643	658	658	678	713	713	733	733	733	742	759	759	764	764	764	774	774	774	774	793	793	793	793	810	810	810	810	810	828	828	844	844	856	856	873	873	893	893	910	910	940	940	945	945	958	972	972	987	987	1009	1031	1031	1051	1051	1075	1075	1075	1075	1093	1093	1118	1118	1142	1154	1154	1181	1209	1209
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	0	0	16	16	40	67	67	103	103	103	117	117	137	137	149	149	149	183	183	183	203	217	217	217	240	265	265	285	285	285	285	285	285	285	285	285	285	285	285	285	285	321	321	360	360	360	393	393	427	427	446	446	464	464	480	480	506	506	506	531	557	557	584	584	606	606	624	624	661	661	674	674	707	707	707	707	707	707	707	729	733	733	733	733	733	733	733	733	733	733	733	733	733	733	733	733	733	733	733	760	760	789	789	789	815	815	840	840	840	856	856	856	867	867	867	893	917	917	938	938	962	962	979	979	979	1003	1003	1032	1032	1046	1046	1078	1078	1096	1096	1108	1129	1140	1140
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	40	40	64	64	101	101	141	141	141	153	153	153	178	210	210	243	243	255	255	255	278	305	305	336	336	358	358	358	376	376	402	424	424	424	454	454	454	484	484	484	530	563	563	563	586	586	586	586	614	614	623	623	637	637	637	637	665	665	692	692	704	723	723	723	723	741	741	780	802	802	815	815	833	833	862	862	881	881	921	921	921	941	941	941	941	959	959	975	1010	1010	1034	1034	1067	1067	1092	1092	1092	1092	1110	1110	1110	1137	1137	1171	1171	1192	1192	1222	1222	1222	1237	1237	1271	1271	1279	1279	1326	1326	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329	1329
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	18	18	53	91	91	113	113	139	139	170	188	188	205	228	256	256	284	284	284	318	318	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	385	411	411	411	411	411	435	470	470	490	490	518	546	546	575	575	575	575	590	590	610	610	630	649	649	666	689	689	713	713	743	743	778	778	819	819	819	848	848	880	880	903	903	932	932	960	991	991	1036	1074	1074	1110	1110	1145	1183	1183	1223	1223	1261	1261	1261	1261	1298	1298	1329	1329	1347	1347	1347	1369	1398	1398	1398	1421	1421	1457	1457	1457	1482	1482	1503	1503	1528	1528	1547	1547	1547	1573	1594	1594	1594	1594	1614	1614	1651	1683	1683	1733	1733	1759	1759	1799	1815
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	23	50	50	84	84	107	126	126	155	155	181	181	193	193	223	250	250	250	250	269	284	284	305	305	305	305	305	305	305	305	305	305	305	305	305	305	330	330	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	381	381	403	403	403	418	418	437
Tobias Harris	https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png	PHI	0	32	32	32	44	44	61	61	89	89	89	89	89	89	106	106	123	123	131	131	131	131	131	152	152	170	187	187	203	203	215	215	239	250	250	250	250	275	275	275	291	291	314	314	333	333	342	342	342	342	356	356	378	378	401	401	401	414	414	431	431	448	470	470	477	477	498	498	518	518	536	536	569	569	592	592	608	608	639	639	657	657	670	670	693	693	723	723	723	740	751	751	751	757	757	776	776	776	776	782	782	794	794	794	808	808	823	839	839	847	847	847	863	863	863	889	899	899	918	918	932	932	937	951	951	971	971	983	983	1000	1000	1022	1022	1036	1036	1059	1070	1087	1087
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	22	22	56	76	76	94	94	125	125	155	155	175	175	198	198	222	222	247	247	247	274	274	274	274	291	291	313	313	313	313	313	313	333	333	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	342	350	350	381	381	381	408	408	408	438	468	468	496	496	496	518	535	535	535	551	551	551	551	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	591	591	619	640	640
Bradley Beal	https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png	WAS	0	0	0	0	0	24	54	54	75	75	93	93	116	136	162	162	180	180	199	199	213	213	227	261	261	286	286	286	307	307	326	326	356	382	382	419	419	419	419	419	419	419	419	419	419	419	448	448	475	475	510	510	537	537	563	563	583	583	583	583	583	583	583	583	596	596	619	619	644	644	663	663	686	686	686	686	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695	695
