PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	5	5	5	10	10	16	16	16	16	16	24	24	32	32	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	44	44	49	49	49	55	66	66	75	75	75	75	75	81	81	81	81	86	86	97	103	103	113	113	113	118	118	123	123	129	129	131	131	137	144	144	144	155	162	162	166	166	171	171	176	176	176	185	185	192	192	192	198	198	198	200	200	207	207	212	212	217	217	221	221	227	227	227	227	227	227	227	227	227	227	227	237	237	237	245	252	252	252	260	260	260	260	266	266	266	269	269	272	272	277	277	281	281	284	284	284	284	296	296	302	302	308	311	311	315	315	322	328	328	340	340	340	340	340	340	345	345	345	345	345	349	349	349	349	349	349	349	349	349
Chris Paul	https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png	PHX	0	10	10	24	35	35	35	35	43	43	43	53	53	53	71	71	84	84	97	97	102	102	109	109	121	121	125	133	133	147	147	161	161	171	175	175	187	197	202	202	202	213	213	225	233	233	233	243	243	243	243	255	255	255	263	277	277	283	283	283	292	292	301	301	308	316	316	329	329	334	334	342	342	358	358	373	373	383	383	390	390	390	402	402	402	411	411	417	429	429	429	440	440	456	456	469	469	474	474	488	488	507	507	521	521	533	533	542	542	553	565	565	584	584	599	599	599	613	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	619	632	632	632	646	646	646	654	654	665	665	674	686	686	686	702	702	702
Rajon Rondo	https://cdn.nba.com/headshots/nba/latest/1040x760/200765.png	LAL	5	5	5	8	8	8	8	11	17	17	17	17	17	17	17	17	21	21	23	23	31	31	31	31	39	39	46	46	46	46	46	48	48	49	49	49	49	49	49	49	49	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	58	58	62	62	64	64	67	67	67	67	67	67	67	67	67	67	67	67	67	67	70	70	75	81	81	81	81	81	81	81	81	81	81	81	81	81	81	84	84	89	89	89	89	94	96	96	101	101	103	103	115	115	115	119	119	125	125	125	125	128	128	128	137	137	137	137	137	137	137	137	137	137	137	137	141	141	141	145	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	148	152	152	152	157	157	170
Kyle Lowry	https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png	MIA	0	0	6	6	6	6	14	14	23	23	28	36	36	36	45	45	50	50	60	60	64	64	75	80	80	84	84	95	95	95	107	107	114	114	114	122	127	127	133	133	147	147	151	151	160	167	167	175	175	188	188	188	202	202	207	207	212	212	227	227	237	237	249	249	255	255	255	255	255	255	255	258	258	270	281	281	290	290	290	303	303	303	303	308	308	316	323	323	323	323	323	323	323	323	323	323	323	323	323	323	323	323	323	323	323	327	327	333	333	338	338	338	349	349	355	355	355	359	359	364	364	368	378	378	378	378	378	378	378	378	378	383	383	393	393	403	410	410	410	414	414	414	418	418	418	424	424	433	433	436	437	437	443	443	451	451	451	461	471	471	471	471	474	474	474
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	4	4	4	16	16	19	23	23	25	25	32	32	37	37	37	42	42	47	47	54	58	58	60	60	68	68	72	72	75	78	78	78	78	78	87	87	95	95	102	102	102	111	111	111	117	121	121	121	124	124	124	130	130	139	139	150	150	158	158	158	158	158	158	158	158	158	158	158	158	158	162	162	165	165	171	171	178	178	185	185	191	196	196	205	205	205	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	211	211	211	219	219	226	226	233	233	233	242	242	249	259	259	265	265	265	273	273	281	281	281	286	293	293	298	298	309	309	312	312	319	330	330	335	335	351
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	4	4	4	13	13	26	26	34	47	47	52	52	61	61	68	68	73	73	79	79	93	93	107	107	110	110	117	125	125	140	140	146	146	156	156	166	171	182	182	191	191	197	197	197	206	206	206	206	217	217	224	231	231	236	236	236	245	245	248	248	256	256	261	261	265	276	276	276	286	298	298	310	310	315	315	317	317	317	330	330	336	336	336	342	342	342	345	345	348	348	351	351	358	358	367	367	371	371	374	379	379	391	391	391	404	408	408	414	414	414	419	419	419	419	424	424	424	424	430	430	430	431	431	432	432	440	440	443	443	447	447	453	453	459	459	468	468	470	474	474	479	479	489	497	497	508	508	516	516	516	516	522	522	528	528	535	540	540	547	550	550	550	550	550	550
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	8	8	8	16	16	24	33	33	40	40	48	48	60	60	60	71	71	81	81	89	94	94	105	105	117	117	130	130	134	141	141	149	149	149	163	163	174	174	188	188	188	196	196	196	205	219	219	219	231	239	239	250	250	250	250	250	250	250	250	250	250	250	250	250	250	260	260	275	275	275	285	285	298	298	306	306	312	312	319	319	331	331	331	347	356	356	371	371	381	381	390	390	401	401	414	414	425	425	425	425	425	425	425	435	447	447	447	447	447	447	447	447	447	447	447	447	447	447	447	447	447	459	459	475	475	475	484	484	495	495	495	509	509	509	514	514	514	520	531	531	542	542	554	554	562	562	562	569	569	576	576	585	585	594	594	601	601	614	624	638	638	653	653	667	667
Ricky Rubio	https://cdn.nba.com/headshots/nba/latest/1040x760/201937.png	CLE	0	10	10	20	28	28	36	36	39	39	43	46	46	54	54	61	61	65	65	75	75	75	80	80	89	96	96	98	98	103	108	108	108	108	113	113	118	118	126	126	132	132	138	138	144	144	146	155	155	164	164	172	175	175	182	182	194	194	194	204	204	204	204	210	210	210	216	216	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	10	10	11	11	11	21	21	25	25	33	33	39	39	39	39	48	48	54	54	56	66	66	72	72	77	77	87	87	92	92	98	98	98	106	106	106	116	124	124	130	130	132	132	132	137	142	142	150	150	152	152	152	157	157	163	166	166	166	170	170	170	174	174	174	178	184	184	184	188	188	188	188	197	197	207	207	212	212	212	212	217	217	227	227	231	233	233	233	233	241	241	249	261	261	267	267	274	274	280	280	288	288	297	297	297	304	304	304	304	314	314	316	326	326	334	334	336	336	342	342	356	356	356	366	366	370	370	379	379	380	380	380	385	385	388	388	396	396	402	402	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404
Nemanja Bjelica	https://cdn.nba.com/headshots/nba/latest/1040x760/202357.png	GSW	4	4	4	4	4	5	5	5	5	8	8	11	11	11	11	13	13	16	16	18	18	18	18	18	22	22	23	23	24	24	27	29	29	29	29	29	30	30	30	31	31	33	33	33	35	35	35	36	36	39	39	39	40	40	40	44	44	44	47	50	50	52	52	52	54	56	56	56	57	57	57	57	57	57	57	57	58	59	59	59	59	59	60	60	63	70	70	71	71	71	71	73	76	76	80	80	84	84	90	90	90	90	90	90	90	90	90	90	90	90	90	90	93	93	96	96	99	99	100	100	103	103	103	106	106	106	106	106	106	106	106	111	114	114	117	117	122	122	125	125	125	125	125	125	131	131	132	137	137	137	137	137	137	137	140	140	140	141	147	147	147	150	150	152	159
