PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	10	10	10	12	12	18	18	18	18	18	20	20	26	26	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	35	35	36	36	36	41	47	47	52	52	52	52	52	60	60	60	60	62	62	72	77	77	87	87	87	90	90	99	99	112	112	119	119	126	134	134	134	140	151	151	163	163	170	170	173	173	173	180	180	183	183	183	189	189	189	197	197	204	204	215	215	221	221	230	230	237	237	237	237	237	237	237	237	237	237	237	247	247	247	252	259	259	259	271	271	271	271	278	278	278	288	288	294	294	306	306	313	313	321	321	321	321	333	333	340	340	347	353	353	358	358	363	371	371	380	380	380	380	380	380	388	388	388	388	388	396	396	396	396	396	396	396	396	396
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	11	11	11	23	23	27	35	35	46	46	57	57	58	58	58	65	65	75	75	81	91	91	96	96	103	103	111	111	115	119	119	119	119	119	125	125	127	127	136	136	136	141	141	141	150	160	160	160	165	165	165	170	170	177	177	189	189	199	199	199	199	199	199	199	199	199	199	199	199	199	205	205	214	214	217	217	224	224	231	231	233	242	242	244	244	244	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	247	251	251	251	256	256	259	259	272	272	272	277	277	282	286	286	292	292	292	301	301	311	311	311	314	322	322	333	333	340	340	347	347	356	364	364	368	368	378
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	4	4	4	13	13	19	19	29	39	39	44	44	51	51	55	55	60	60	67	67	79	79	90	90	95	95	105	111	111	114	114	117	117	125	125	137	143	149	149	153	153	158	158	158	159	159	159	159	161	161	167	174	174	179	179	179	188	188	192	192	199	199	208	208	215	222	222	222	231	239	239	252	252	255	255	260	260	260	270	270	276	276	276	285	285	285	289	289	295	295	296	296	305	305	312	312	318	318	321	324	324	331	331	331	339	344	344	347	347	347	355	355	355	355	361	361	361	361	364	364	364	367	367	372	372	376	376	382	382	386	386	393	393	398	398	401	401	402	408	408	410	410	419	427	427	432	432	439	439	439	439	443	443	451	451	456	458	458	466	470	470	470	470	470	470
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	9	9	19	19	19	25	25	30	30	36	36	41	41	41	41	48	48	51	51	52	57	57	62	62	66	66	71	71	78	78	82	82	82	84	84	84	88	95	95	100	100	102	102	102	105	112	112	115	115	115	115	115	122	122	127	130	130	130	134	134	134	137	137	137	141	145	145	145	149	149	149	149	155	155	158	158	167	167	167	167	169	169	178	178	186	188	188	188	188	191	191	196	200	200	202	202	209	209	217	217	222	222	227	227	227	228	228	228	228	237	237	243	245	245	250	250	252	252	255	255	260	260	260	263	263	267	267	272	272	276	276	276	281	281	290	290	294	294	300	300	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301
Nemanja Bjelica	https://cdn.nba.com/headshots/nba/latest/1040x760/202357.png	GSW	9	9	14	14	14	15	15	17	17	20	20	26	26	26	26	28	28	34	34	35	37	37	40	40	42	42	44	44	46	46	49	55	55	56	56	56	56	58	58	59	59	64	64	64	68	69	69	72	72	76	76	76	78	78	80	84	84	84	87	88	88	88	88	88	95	97	97	97	104	104	104	104	108	108	110	110	112	114	114	114	117	117	121	121	121	132	132	133	133	136	136	141	145	145	148	148	156	156	157	157	157	157	157	157	157	157	157	157	157	157	157	157	160	160	161	161	162	162	164	164	164	164	164	168	168	168	168	170	170	170	170	175	178	178	180	180	184	184	189	189	189	189	189	189	195	195	199	205	205	205	205	205	208	208	211	211	211	213	223	223	223	227	227	228	232
Jonas Valanciunas	https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png	NOP	0	7	7	14	28	28	42	42	51	51	59	69	69	69	81	91	91	101	101	101	111	111	123	123	131	140	140	148	148	155	155	163	171	171	173	173	180	188	198	198	206	206	210	210	219	219	225	225	225	231	231	238	238	244	244	244	254	254	259	259	259	259	271	271	271	271	271	271	277	277	277	277	277	277	282	294	294	302	302	302	317	317	326	326	340	340	342	342	354	354	354	363	363	363	363	370	370	370	370	370	370	370	373	380	380	380	386	386	390	390	397	397	404	404	415	415	423	425	425	439	439	452	452	462	462	462	476	476	481	481	491	491	493	503	503	510	510	516	516	525	525	525	536	536	544	556	556	556	572	572	578	588	588	588	594	594	605	605	611	611	611	616	616	617	617
Nikola Vucevic	https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png	CHI	0	10	10	13	30	30	37	37	37	45	45	57	57	65	65	73	73	73	82	82	92	92	101	101	101	101	101	101	101	101	101	101	101	101	101	101	113	119	129	129	142	142	142	146	146	151	151	160	160	169	169	169	177	177	177	177	177	177	177	177	186	191	191	191	191	191	205	218	218	235	235	249	260	260	275	275	275	275	285	285	288	288	293	296	296	308	313	313	321	321	330	330	341	341	351	361	361	375	375	381	381	394	394	406	406	420	434	434	439	447	447	462	462	470	480	480	496	496	503	503	512	512	523	523	529	529	529	538	545	545	545	545	545	551	551	551	563	563	572	572	582	582	586	586	586	592	598	598	607	607	615	615	626	630	630	639	639	647	647	652	658	658	662	662	662
Tobias Harris	https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png	PHI	0	10	10	17	17	24	24	30	30	35	35	46	46	46	46	46	46	46	46	46	46	46	46	53	53	62	62	62	65	65	72	72	80	80	80	80	80	80	86	86	95	95	101	101	101	101	101	110	110	114	120	120	129	129	131	131	136	140	140	140	140	146	146	146	152	152	156	156	167	167	171	171	171	171	174	174	183	183	188	188	188	192	192	198	198	205	212	212	212	212	216	216	223	223	232	232	242	242	247	247	254	254	257	257	265	265	267	267	273	273	280	280	280	288	293	293	293	298	298	304	304	307	307	311	311	311	317	317	321	327	327	328	328	328	329	329	329	337	343	343	349	349	352	352	354	362	362	369	369	371	371	378	378	385	385	390	390	395	400	406	406	413	413	416	419
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	9	9	9	18	18	23	23	33	37	37	44	44	51	51	59	59	71	71	71	71	81	81	89	89	95	95	105	110	110	117	117	122	122	131	131	134	134	141	141	151	151	156	156	156	161	161	161	161	173	173	180	180	180	180	180	180	192	192	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	193	194	194	203	203	203	206	206	206	218	228	228	238	238	238	243	250	250	250	255	255	255	255	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	268	268	276	288	288	288	288	288	288
Andre Drummond	https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png	PHI	0	15	15	22	22	22	22	26	26	30	30	34	34	45	45	48	53	53	55	55	72	85	85	92	92	100	100	100	105	105	111	111	115	115	131	131	140	140	142	142	148	148	154	154	158	158	158	159	159	161	164	164	170	170	176	176	179	185	185	185	185	185	185	185	185	185	185	185	185	185	190	190	190	190	195	195	199	199	202	202	202	208	208	216	216	221	225	225	231	231	235	235	242	242	246	246	250	250	258	258	266	266	279	279	280	280	285	285	292	292	297	297	297	297	297	297	303	303	317	323	327	327	335	335	338	338	338	340	340	340	344	344	356	356	360	360	360	367	367	371	380	380	383	383	383	383	383	386	386	386	390	399	399	408	408	416	416	423	423	429	435	435	442	442	451
