PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	5	5	5	10	10	14	14	14	14	14	15	15	15	15	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	20	20	21	21	21	26	28	28	32	32	32	32	32	34	34	34	34	36	36	37	41	41	44	44	44	48	48	50	50	51	51	53	53	55	58	58	58	61	69	69	74	74	77	77	80	80	80	81	81	84	84	84	87	87	87	89	89	92	92	95	95	97	97	98	98	100	100	100	100	100	100	100	100	100	100	100	102	102	102	105	108	108	108	111	111	111	111	114	114	114	116	116	117	117	120	120	122	122	128	128	128	128	129	129	135	135	140	144	144	145	145	147	151	151	151	151	151	151	151	151	158	158	158	158	158	161	161	161	161	161	161	161	161	161
Carmelo Anthony	https://cdn.nba.com/headshots/nba/latest/1040x760/2546.png	LAL	2	2	2	6	6	12	12	12	13	13	19	19	24	24	27	27	32	32	32	32	39	39	40	40	41	41	43	43	43	45	45	48	48	53	53	55	57	61	61	61	61	61	61	61	63	63	63	63	63	63	64	65	65	68	68	68	69	69	71	71	76	76	77	77	78	80	80	80	84	85	85	89	89	92	92	92	92	92	96	96	96	96	96	96	96	96	96	96	96	96	96	96	100	100	102	102	105	105	106	108	108	109	109	109	114	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	120	120	121	121	124	124	124	124	126	126	127	127	130	130	131	131	135	138	138	139	139	139	142	142	143	143	145	145	145	145	146	146	146	146	146	146	146	147	149	149	149	149	149	149
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	3	3	3	4	4	6	7	7	9	9	10	10	11	11	11	13	13	15	15	18	21	21	23	23	26	26	28	28	30	32	32	32	32	32	33	33	33	33	37	37	37	37	37	37	37	39	39	39	40	40	40	41	41	46	46	48	48	50	50	50	50	50	50	50	50	50	50	50	50	50	53	53	55	55	57	57	59	59	60	60	61	63	63	66	66	66	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	69	69	69	73	73	74	74	77	77	77	81	81	81	83	83	85	85	85	89	89	90	90	90	90	93	93	97	97	100	100	108	108	109	111	111	115	115	115
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	4	4	4	7	7	9	10	10	13	13	16	16	20	20	20	25	25	28	28	31	34	34	35	35	41	41	42	42	44	47	47	50	50	50	50	50	54	54	54	54	54	57	57	57	57	58	58	58	61	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	67	67	71	71	71	72	72	75	75	77	77	77	77	78	78	80	80	80	85	88	88	90	90	92	92	92	92	96	96	97	97	99	99	99	99	99	99	99	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	107	107	110	110	110	112	112	114	114	114	115	115	115	118	118	118	121	122	122	123	123	126	126	126	126	126	127	127	131	131	133	133	137	137	139	139	141	143	145	145	146	146	148	148
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	2	2	10	10	10	14	14	18	18	25	25	31	31	31	31	34	34	39	39	43	52	52	55	55	64	64	67	67	76	76	85	85	85	86	86	86	92	98	98	105	105	108	108	108	114	119	119	126	126	132	132	132	135	135	140	145	145	145	150	150	150	154	154	154	162	167	167	167	172	172	172	172	178	178	179	179	180	180	180	180	184	184	186	186	188	192	192	192	192	196	196	202	206	206	207	207	209	209	215	215	218	218	225	225	225	229	229	229	229	233	233	236	241	241	242	242	250	250	251	251	253	253	253	256	256	261	261	265	265	269	269	269	270	270	275	275	277	277	284	284	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285
Patty Mills	https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png	BKN	7	7	7	10	10	11	16	16	16	16	17	17	18	18	18	22	22	23	23	26	27	27	28	28	28	28	37	37	39	45	45	49	49	49	54	54	61	61	64	64	64	66	66	66	70	72	72	72	74	77	77	78	78	82	82	89	89	93	93	95	95	95	95	95	95	103	103	109	109	109	110	110	115	115	115	115	117	117	118	118	121	122	122	128	128	128	131	131	134	134	139	139	140	140	145	145	148	152	152	152	158	158	158	161	165	165	168	168	172	172	173	173	174	174	177	177	179	179	181	186	186	186	186	186	187	189	189	193	193	193	194	194	198	198	200	200	200	201	201	206	209	209	209	209	209	212	212	212	212	212	214	214	214	215	215	216	216	216	216	218	223	223	225	225	227
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	5	5	10	10	12	12	12	12	18	18	18	23	23	27	27	27	27	29	29	32	32	35	35	38	40	40	42	42	47	50	50	53	53	54	54	55	55	58	61	61	61	61	61	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	67	67	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	76	76	78	78	78	83	83	85	85	85	91	91
Kemba Walker	https://cdn.nba.com/headshots/nba/latest/1040x760/202689.png	NYK	0	3	3	6	6	8	8	13	13	18	18	22	22	25	25	25	25	26	26	26	27	27	27	27	31	31	31	31	31	32	32	32	34	35	35	35	35	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	43	43	43	46	46	53	55	55	55	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	62	62	62	62	62	62	62	62	64	64	64	64	64	64	64	64	64	64	65	65	65	65	65	66	66	70	70	72	72	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
Reggie Jackson	https://cdn.nba.com/headshots/nba/latest/1040x760/202704.png	LAC	0	0	3	3	6	6	9	9	12	12	14	14	14	16	16	23	23	25	25	28	28	31	31	33	33	36	39	39	44	44	48	48	48	52	52	55	55	58	58	58	62	62	62	62	64	67	67	69	69	71	71	71	74	74	76	76	77	77	77	79	79	81	81	81	81	81	81	81	81	81	81	86	89	89	90	90	90	92	92	94	96	96	97	97	98	98	99	99	100	100	103	103	104	104	108	108	108	109	109	109	109	112	116	116	116	119	119	119	121	121	123	123	123	123	125	125	128	128	128	130	130	131	131	133	133	136	136	140	140	140	140	140	141	146	146	149	149	152	152	152	156	156	157	157	157	157	157	157	157	157	157	157	157	159	159	165	165	165	166	166	166	166	166	167	167
Harrison Barnes	https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png	SAC	0	8	8	10	10	15	15	15	17	17	19	19	20	20	22	26	26	28	28	29	30	30	31	31	32	32	32	33	33	34	34	34	35	35	36	36	37	37	37	37	37	37	37	37	37	37	37	37	37	39	39	41	41	41	42	42	43	43	46	46	47	51	51	54	54	54	57	57	62	64	64	66	66	68	68	71	73	73	74	74	76	79	79	82	82	84	84	85	85	85	86	86	86	89	89	89	89	92	92	92	94	94	95	95	98	99	99	101	101	101	102	106	106	106	106	106	106	106	108	108	109	109	110	110	111	111	114	118	118	119	119	122	122	125	125	125	127	127	127	127	128	128	128	128	129	129	129	130	130	130	132	132	135	135	136	136	140	140	141	141	141	141	141	142	142
