PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	23	23	23	41	41	60	60	60	60	60	82	82	101	101	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	138	138	145	145	145	174	199	199	219	219	219	219	219	242	242	242	242	261	261	276	296	296	316	316	316	335	335	348	348	369	369	388	388	414	439	439	439	458	483	483	509	509	524	524	550	550	550	574	574	593	593	593	622	622	622	645	645	665	665	687	687	710	710	732	732	753	753	753	753	753	753	753	753	753	753	753	777	777	777	796	818	818	818	845	845	845	845	868	868	868	886	886	909	909	927	927	945	945	976	976	976	976	1002	1002	1027	1027	1047	1066	1066	1087	1087	1113	1142	1142	1171	1171	1171	1171	1171	1171	1198	1198	1198	1198	1198	1221	1221	1221	1221	1221	1221	1221	1221	1221
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	25	25	25	45	45	69	86	86	104	104	114	114	127	127	127	147	147	174	174	193	217	217	229	229	246	246	263	263	282	298	298	298	298	298	317	317	333	333	361	361	361	384	384	384	402	428	428	428	450	450	450	472	472	503	503	532	532	556	556	556	556	556	556	556	556	556	556	556	556	556	580	580	604	604	628	628	652	652	671	671	692	711	711	721	721	721	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	729	750	750	750	771	771	784	784	801	801	801	838	838	847	867	867	882	882	882	905	905	933	933	933	947	971	971	994	994	1015	1015	1043	1043	1056	1078	1078	1098	1098	1115
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	13	13	13	28	28	43	43	70	90	90	103	103	125	125	146	146	169	169	182	182	197	197	219	219	230	230	241	260	260	276	276	289	289	310	310	328	343	361	361	377	377	398	398	398	406	406	406	406	422	422	431	439	439	457	457	457	475	475	482	482	501	501	521	521	541	561	561	561	578	594	594	604	604	620	620	639	639	639	653	653	665	665	665	679	679	679	694	694	709	709	726	726	743	743	758	758	772	772	787	810	810	825	825	825	837	855	855	865	865	865	876	876	876	876	889	889	889	889	902	902	902	923	923	938	938	955	955	971	971	988	988	1002	1002	1023	1023	1034	1034	1044	1054	1054	1066	1066	1084	1099	1099	1113	1113	1133	1133	1133	1133	1148	1148	1165	1165	1183	1198	1198	1213	1233	1233	1233	1233	1233	1233
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	16	16	16	33	33	49	66	66	78	78	89	89	98	98	98	112	112	122	122	142	153	153	164	164	182	182	195	195	208	220	220	245	245	245	255	255	268	268	283	283	283	303	303	303	314	335	335	335	348	364	364	381	381	381	381	381	381	381	381	381	381	381	381	381	381	406	406	431	431	431	451	451	473	473	487	487	499	499	514	514	532	532	532	545	567	567	582	582	594	594	615	615	639	639	652	652	676	676	676	676	676	676	676	695	706	706	706	706	706	706	706	706	706	706	706	706	706	706	706	706	706	718	718	732	732	732	745	745	755	755	755	770	770	770	787	787	787	806	817	817	829	829	843	843	855	855	855	873	873	888	888	899	899	916	916	931	931	941	954	964	964	976	976	992	992
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	21	21	46	46	46	69	69	83	83	112	112	128	128	128	128	143	143	159	159	175	203	203	219	219	243	243	265	265	284	284	311	311	311	321	321	321	337	362	362	384	384	405	405	405	425	453	453	469	469	488	488	488	508	508	528	547	547	547	568	568	568	595	595	595	617	644	644	644	660	660	660	660	678	678	695	695	719	719	719	719	740	740	761	761	772	787	787	787	787	798	798	825	846	846	866	866	882	882	902	902	920	920	943	943	943	954	954	954	954	966	966	979	1004	1004	1021	1021	1039	1039	1058	1058	1069	1069	1069	1094	1094	1118	1118	1133	1133	1155	1155	1155	1167	1167	1188	1188	1195	1195	1220	1220	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	17	17	37	55	55	74	74	74	92	92	114	114	134	134	156	156	156	171	171	191	191	211	211	224	224	240	263	263	282	282	303	303	323	339	339	358	374	393	393	413	413	413	432	432	456	456	456	456	456	456	456	456	456	456	456	456	456	456	456	480	498	498	498	498	498	518	538	538	556	556	580	602	602	626	626	626	626	642	642	658	658	671	687	687	697	717	717	741	741	765	765	783	783	804	804	804	823	823	845	845	858	858	878	878	895	921	921	951	978	978	997	997	1019	1043	1043	1067	1067	1094	1094	1115	1115	1144	1144	1160	1160	1160	1180	1210	1210	1210	1227	1227	1252	1252	1252	1278	1278	1295	1295	1315	1315	1329	1329	1329	1343	1366	1366	1366	1366	1383	1383	1409	1436	1436	1462	1462	1480	1480	1506	1522	1522	1535	1535	1535
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	23	23	48	48	64	64	84	84	108	108	108	132	132	150	150	170	170	192	192	216	216	241	241	258	283	283	307	307	325	351	351	376	376	399	399	418	418	442	462	462	462	462	482	503	503	521	521	521	521	521	521	521	521	521	521	521	521	521	521	538	538	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	576	576	596	596	596	611	611	622	622	622	636	636
Reggie Jackson	https://cdn.nba.com/headshots/nba/latest/1040x760/202704.png	LAC	0	0	19	19	36	36	56	56	71	71	83	83	83	100	100	118	118	134	134	152	152	172	172	189	189	205	222	222	244	244	260	271	271	285	285	308	308	327	327	332	346	346	361	361	377	396	396	415	415	437	437	437	458	458	471	471	487	487	487	507	507	519	519	519	519	519	519	519	519	519	519	533	548	548	557	557	557	573	573	588	602	602	617	617	628	628	642	642	656	656	678	678	692	692	710	710	719	730	730	741	741	754	772	772	772	792	792	792	804	804	818	818	832	832	853	853	870	896	896	909	909	921	921	942	942	958	958	988	988	988	1006	1006	1020	1041	1041	1061	1061	1077	1077	1077	1096	1096	1105	1105	1105	1105	1123	1123	1123	1136	1136	1136	1136	1160	1160	1183	1183	1183	1202	1202	1213	1213	1213	1222	1222
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	26	26	26	44	44	59	59	90	112	112	126	126	143	143	161	161	181	181	186	186	211	211	234	234	247	247	271	280	280	295	295	316	316	335	335	352	352	374	374	389	389	411	411	411	426	426	426	426	439	439	457	457	457	457	457	457	475	475	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	490	490	511	511	511	531	531	531	549	573	573	592	592	592	602	613	613	613	626	626	626	626	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	652	652	677	695	695	695	695	695	695
Bradley Beal	https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png	WAS	0	19	19	19	19	19	41	41	66	92	92	124	124	145	145	163	163	175	175	197	197	197	216	216	216	216	216	216	216	236	254	254	271	271	289	289	309	327	341	341	362	362	382	382	399	399	411	430	430	449	449	449	468	468	487	487	511	529	529	553	553	553	553	553	553	553	553	553	553	553	576	576	596	596	618	618	643	643	657	657	679	679	679	679	679	679	679	679	691	691	709	709	728	728	745	745	760	760	760	760	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771	771
