PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	13	13	13	21	21	28	28	28	28	28	38	38	44	44	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	67	67	71	71	71	84	94	94	106	106	106	106	106	115	115	115	115	128	128	135	148	148	160	160	160	169	169	174	174	185	185	198	198	213	227	227	227	238	251	251	267	267	274	274	286	286	286	299	299	313	313	313	326	326	326	335	335	344	344	355	355	367	367	379	379	393	393	393	393	393	393	393	393	393	393	393	406	406	406	417	430	430	430	439	439	439	439	453	453	453	459	459	472	472	482	482	490	490	509	509	509	509	518	518	536	536	546	557	557	565	565	580	596	596	613	613	613	613	613	613	627	627	627	627	627	640	640	640	640	640	640	640	640	640
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	13	13	13	22	22	39	48	48	57	57	64	64	74	74	74	87	87	99	99	110	123	123	134	134	145	145	154	154	160	169	169	169	169	169	177	177	185	185	198	198	198	207	207	207	216	228	228	228	238	238	238	250	250	266	266	278	278	291	291	291	291	291	291	291	291	291	291	291	291	291	304	304	315	315	323	323	338	338	348	348	359	368	368	375	375	375	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	379	389	389	389	401	401	407	407	417	417	417	436	436	442	450	450	461	461	461	476	476	488	488	488	495	504	504	518	518	528	528	547	547	551	562	562	573	573	578
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	4	4	4	10	10	15	15	30	38	38	46	46	55	55	65	65	75	75	76	76	81	81	91	91	98	98	103	111	111	118	118	123	123	133	133	143	148	158	158	168	168	177	177	177	181	181	181	181	190	190	193	197	197	206	206	206	214	214	218	218	227	227	237	237	249	253	253	253	263	270	270	275	275	282	282	289	289	289	293	293	295	295	295	297	297	297	304	304	309	309	314	314	322	322	331	331	338	338	347	359	359	367	367	367	370	377	377	378	378	378	381	381	381	381	388	388	388	388	394	394	394	403	403	408	408	413	413	420	420	429	429	434	434	445	445	447	447	452	456	456	461	461	469	479	479	486	486	496	496	496	496	504	504	513	513	522	527	527	538	548	548	548	548	548	548
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	5	5	21	21	21	30	30	36	36	47	47	54	54	54	54	60	60	65	65	73	87	87	95	95	110	110	117	117	129	129	144	144	144	146	146	146	155	167	167	179	179	183	183	183	191	198	198	206	206	214	214	214	220	220	228	236	236	236	244	244	244	257	257	257	270	280	280	280	286	286	286	286	294	294	297	297	302	302	302	302	312	312	320	320	324	331	331	331	331	337	337	349	355	355	360	360	367	367	377	377	382	382	395	395	395	402	402	402	402	408	408	413	424	424	431	431	442	442	452	452	457	457	457	468	468	478	478	486	486	499	499	499	504	504	515	515	518	518	534	534	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535	535
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	8	8	17	24	24	31	31	31	38	38	51	51	66	66	79	79	79	86	86	96	96	103	103	107	107	119	134	134	141	141	148	148	158	166	166	172	179	190	190	202	202	202	214	214	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	238	249	249	249	249	249	258	272	272	280	280	288	298	298	309	309	309	309	314	314	323	323	331	338	338	343	350	350	360	360	374	374	383	383	398	398	398	409	409	422	422	431	431	443	443	450	461	461	479	495	495	508	508	522	534	534	550	550	566	566	581	581	591	591	598	598	598	608	619	619	619	625	625	637	637	637	646	646	653	653	663	663	669	669	669	680	690	690	690	690	698	698	710	722	722	739	739	745	745	761	767	767	774	774	774
Patty Mills	https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png	BKN	7	7	7	11	11	13	21	21	22	22	24	24	27	27	27	32	32	34	34	37	39	39	40	40	40	40	50	50	53	60	60	69	69	69	75	75	83	83	86	86	86	90	90	90	98	103	103	103	107	110	110	114	114	121	121	131	131	136	136	146	146	146	146	146	146	157	157	163	163	163	165	165	171	171	171	171	173	173	174	174	179	180	180	187	187	187	194	194	198	198	204	204	208	208	216	216	222	228	228	228	236	236	236	239	244	244	248	248	253	253	255	255	258	258	261	261	264	264	266	274	274	274	274	274	275	278	278	283	283	283	284	284	288	288	292	292	292	294	294	299	302	302	302	302	302	307	307	307	307	307	309	310	310	311	311	312	312	312	312	314	319	319	321	321	324
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	12	12	27	27	33	33	39	39	54	54	54	65	65	76	76	80	80	89	89	99	99	110	110	120	127	127	137	137	146	154	154	166	166	173	173	178	178	189	199	199	199	199	206	211	211	220	220	220	220	220	220	220	220	220	220	220	220	220	220	228	228	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	244	244	251	251	251	256	256	260	260	260	268	268
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	15	15	15	21	21	29	29	44	56	56	63	63	70	70	81	81	92	92	93	93	106	106	116	116	123	123	137	143	143	152	152	164	164	175	175	182	182	191	191	201	201	213	213	213	223	223	223	223	230	230	239	239	239	239	239	239	247	247	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	254	254	268	268	268	278	278	278	288	300	300	313	313	313	321	329	329	329	334	334	334	334	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	341	349	349	360	370	370	370	370	370	370
Bradley Beal	https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png	WAS	0	7	7	7	7	7	15	15	22	33	33	45	45	55	55	63	63	70	70	84	84	84	88	88	88	88	88	88	88	97	108	108	116	116	121	121	132	140	150	150	158	158	166	166	172	172	176	188	188	198	198	198	207	207	215	215	228	239	239	252	252	252	252	252	252	252	252	252	252	252	265	265	273	273	284	284	293	293	302	302	309	309	309	309	309	309	309	309	314	314	321	321	331	331	338	338	346	346	346	346	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348
Evan Fournier	https://cdn.nba.com/headshots/nba/latest/1040x760/203095.png	NYK	0	13	13	18	18	21	21	27	27	31	31	37	37	42	42	47	47	49	49	54	59	59	60	60	62	62	62	65	65	67	67	67	74	75	75	83	83	87	94	94	94	99	99	105	105	111	111	111	114	116	116	119	119	121	121	122	122	130	130	143	143	143	152	152	154	160	160	160	165	165	165	166	166	172	172	172	172	187	187	187	187	192	192	197	197	197	204	204	206	216	216	218	218	218	223	226	226	228	228	238	238	238	245	245	256	256	256	261	261	266	274	274	281	281	282	282	292	292	298	298	298	303	303	312	312	312	313	313	318	318	321	326	326	330	330	333	333	342	342	342	347	347	352	352	358	358	362	366	366	368	368	372	374	374	384	384	384	390	391	391	394	394	400	400	402
Khris Middleton	https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png	MIL	8	8	12	12	21	21	30	30	36	36	36	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	48	48	53	57	57	61	61	66	71	71	77	77	77	83	91	91	100	100	107	107	112	112	118	118	126	128	128	128	128	128	128	128	128	128	135	143	148	148	148	156	156	162	162	162	162	165	165	174	174	180	189	189	199	199	199	206	206	209	209	220	220	230	230	236	248	248	248	248	256	256	263	263	267	267	271	271	271	271	277	283	283	291	291	300	300	300	300	303	310	310	316	316	316	324	324	329	329	337	337	346	346	362	362	371	380	380	380	386	386	393	393	403	403	403	409	409	409	409	409	409	409	414	414	414	422	422	426	426	426	429	437	437	446	452	452	452
CJ McCollum	https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png	POR	0	14	14	14	24	24	31	31	39	39	45	45	55	63	63	70	70	81	84	84	84	90	97	97	104	104	111	122	122	126	126	126	133	133	133	146	152	158	158	158	165	176	176	183	183	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	198	198	208	208	215	215	223	223	228	236	236	246	246	259	269	269	274	274	283	290	290	290	290	290	296	296	311	311	320	332	332	346	346	357	357	365	365	365	372	372	382	382	391	391	404	418	418	418	418	418	418	427	427	427	435	435	444	454	454	454	464	464	476	483	483	483	492	492	504	504	511	521	521	530	530	536	536
Giannis Antetokounmpo	https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png	MIL	12	12	16	16	23	23	33	33	48	48	48	59	69	69	78	78	78	85	85	97	97	109	114	114	114	114	123	123	123	141	141	147	155	155	159	159	171	181	181	191	191	191	206	206	206	206	206	215	215	219	219	234	234	241	248	248	248	248	248	248	248	248	248	248	248	261	261	261	271	271	284	284	296	296	307	307	307	307	318	329	329	339	339	339	350	350	356	356	364	364	376	376	387	387	387	387	387	394	394	406	406	415	415	429	429	429	429	436	444	444	461	461	466	466	466	466	466	483	483	496	496	496	504	504	510	510	519	519	531	531	539	539	552	567	567	567	576	576	588	588	600	600	600	600	600	600	609	609	609	609	620	620	620	636	636	650	650	650	662	669	669	680	689	689	689
Zach LaVine	https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png	CHI	0	11	11	22	28	28	35	35	35	42	42	51	51	60	60	71	71	71	83	83	93	93	101	101	111	111	122	132	132	143	143	157	157	164	171	171	182	190	196	196	206	206	206	215	215	224	224	237	237	246	246	246	257	257	257	257	257	257	257	257	257	257	257	257	257	257	269	280	280	290	290	297	308	308	316	316	316	316	325	325	332	332	335	343	343	343	343	343	343	343	343	343	343	343	343	349	349	358	358	368	368	375	375	383	383	389	389	389	389	398	398	406	406	411	411	411	411	411	411	411	418	418	427	427	435	435	435	443	456	456	456	464	464	471	471	471	471	471	479	479	490	490	491	491	491	500	506	506	518	518	526	526	534	538	538	543	543	554	554	554	556	556	565	565	565
Julius Randle	https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png	NYK	0	12	12	21	21	29	29	36	36	39	39	43	43	50	50	56	56	67	67	74	86	86	92	92	96	96	96	101	101	105	105	105	109	122	122	129	129	132	135	135	135	146	146	160	160	169	169	169	174	180	180	184	184	186	186	196	196	202	202	208	208	208	216	216	226	235	235	235	240	242	242	242	242	242	242	254	254	262	262	268	268	269	269	275	275	275	285	285	291	297	297	298	298	298	306	312	312	317	317	321	321	321	328	328	335	335	335	346	346	356	367	367	377	377	385	385	396	396	406	406	406	408	408	412	412	412	421	421	430	430	434	452	452	460	460	471	471	480	480	480	485	485	491	491	497	497	497	497	497	497	497	504	505	505	512	512	512	512	512	512	512	512	512	512	512
