PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	6	6	6	10	10	12	12	12	12	12	17	17	21	21	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	24	24	25	25	25	34	45	45	53	53	53	53	53	58	58	58	58	60	60	65	69	69	73	73	73	76	76	84	84	95	95	101	101	107	116	116	116	125	128	128	137	137	149	149	154	154	154	159	159	163	163	163	173	173	173	180	180	188	188	195	195	198	198	209	209	212	212	212	212	212	212	212	212	212	212	212	214	214	214	218	219	219	219	228	228	228	228	230	230	230	238	238	243	243	248	248	258	258	271	271	271	271	277	277	285	285	292	299	299	304	304	311	314	314	318	318	318	318	318	318	324	324	324	324	324	336	336	336	336	336	336	336	336	336
LaMarcus Aldridge	https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png	BKN	4	4	4	7	7	8	8	8	8	8	11	11	13	13	13	13	13	17	17	19	22	22	22	22	26	26	28	28	28	30	30	31	31	31	32	32	36	36	38	38	38	38	38	38	40	40	40	40	41	41	41	42	42	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	51	51	51	51	51	51	52	52	52	52	52	52	52	52	52	52	52	52	53	53	58	58	58	58	58	58	61	67	67	67	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	71	71	77	83	86	86	91	91	95	98	98	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	6	6	6	16	16	18	27	27	33	33	41	41	44	44	44	50	50	54	54	60	69	69	76	76	80	80	94	94	100	103	103	103	103	103	113	113	119	119	130	130	130	139	139	139	152	154	154	154	157	157	157	164	164	179	179	187	187	193	193	193	193	193	193	193	193	193	193	193	193	193	199	199	204	204	213	213	220	220	228	228	233	241	241	252	252	252	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	264	264	264	274	274	275	275	278	278	278	290	290	298	303	303	318	318	318	321	321	331	331	331	341	347	347	356	356	359	359	370	370	380	389	389	399	399	409
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	0	0	0	8	8	12	12	16	19	19	22	22	23	23	31	31	35	35	43	43	53	53	55	55	61	61	63	73	73	77	77	81	81	89	89	98	109	118	118	126	126	133	133	133	133	133	133	133	139	139	143	143	143	145	145	145	153	153	164	164	170	170	174	174	183	189	189	189	195	195	195	201	201	209	209	217	217	217	220	220	222	222	222	227	227	227	231	231	235	235	235	235	237	237	245	245	246	246	246	256	256	261	261	261	264	267	267	274	274	274	281	281	281	281	285	285	285	285	292	292	292	294	294	301	301	303	303	307	307	309	309	322	322	330	330	334	334	338	345	345	351	351	353	353	353	360	360	365	365	365	365	365	365	371	371	381	381	381	391	399	399	399	399	399	399
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	4	4	4	8	8	9	12	12	15	15	34	34	37	37	37	38	38	42	42	48	51	51	56	56	71	71	76	76	87	99	99	119	119	119	123	123	132	132	136	136	136	146	146	146	161	165	165	165	172	188	188	192	192	192	192	192	192	192	192	192	192	192	192	192	192	209	209	214	214	214	232	232	247	247	255	255	265	265	268	268	275	275	275	283	292	292	300	300	315	315	321	321	328	328	332	332	341	341	341	341	341	341	341	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	359	359	369	369	369	379	379	391	391	391	397	397	397	399	399	399	414	426	426	438	438	448	448	458	458	458	468	468	479	479	487	487	499	499	508	508	510	522	524	524	530	530	536	536
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	9	9	14	14	14	20	20	27	27	34	34	34	34	34	34	34	34	38	38	38	51	51	59	59	60	60	67	67	71	71	72	72	72	79	79	79	81	84	84	86	86	87	87	87	89	98	98	106	106	106	106	106	110	110	115	117	117	117	126	126	126	127	127	127	139	148	148	148	155	155	155	155	162	162	164	164	168	168	168	168	172	172	182	182	184	186	186	186	186	188	188	197	205	205	207	207	210	210	213	213	219	219	227	227	227	229	229	229	229	231	231	235	243	243	252	252	255	255	259	259	265	265	265	269	269	278	278	279	279	279	279	279	283	283	290	290	290	290	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	2	2	11	20	20	30	30	30	35	35	41	41	46	46	58	58	58	70	70	79	79	83	83	93	93	104	110	110	118	118	130	130	139	141	141	146	152	159	159	164	164	164	175	175	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	196	200	200	200	200	200	207	215	215	219	219	231	241	241	254	254	254	254	260	260	264	264	269	276	276	283	292	292	296	296	301	301	319	319	332	332	332	339	339	344	344	348	348	352	352	366	375	375	386	394	394	404	404	411	427	427	435	435	440	440	447	447	457	457	462	462	462	464	469	469	469	481	481	494	494	494	501	501	508	508	512	512	520	520	520	525	525	525	525	525	530	530	542	549	549	564	564	577	577	585	589	589	593	593	593
Jimmy Butler	https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png	MIA	0	0	11	11	16	16	22	22	28	28	35	46	46	46	63	63	71	71	77	77	88	88	93	93	93	93	93	93	93	105	115	115	124	124	124	133	140	140	147	147	147	147	147	147	147	147	147	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	158	158	167	167	167	178	178	180	186	186	186	186	186	186	186	186	186	186	186	195	202	202	210	210	212	212	214	214	219	219	219	228	228	244	255	255	255	265	265	268	268	275	275	281	281	281	292	292	298	298	298	312	312	316	316	325	340	340	350	350	352	352	352	363	363	372	372	372	372	384	384	384	384	388	388	388	388	388	388	399	399	404	404	412	416	416	420	420	428	428	428	435	435	443	443	443	455	455	455
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	7	7	7	18	18	25	25	31	38	38	38	38	40	40	48	48	57	57	57	57	65	65	69	69	79	79	84	93	93	93	93	102	102	112	112	123	123	131	131	134	134	136	136	136	147	147	147	147	151	151	155	155	155	155	155	155	160	160	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	163	163	166	166	166	175	175	175	189	196	196	201	201	201	211	215	215	215	225	225	225	225	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	236	236	242	244	244	244	244	244	244
Harrison Barnes	https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png	SAC	0	9	9	15	15	23	23	23	23	23	29	29	33	33	42	52	52	59	59	70	81	81	83	83	89	89	89	91	91	97	97	105	111	111	116	116	123	123	123	123	123	123	123	123	123	123	123	123	123	128	128	130	136	136	136	136	142	142	149	149	155	160	160	161	161	161	164	164	166	170	170	174	174	174	174	177	177	177	179	179	180	188	188	190	190	194	194	201	201	201	215	215	215	221	221	221	223	235	235	235	241	241	248	248	252	261	261	270	270	270	282	292	292	292	301	301	301	301	309	309	315	315	324	324	335	335	340	354	354	357	357	364	364	370	370	370	372	372	374	374	377	377	377	377	385	385	385	386	386	386	392	392	396	396	402	402	404	404	407	411	411	411	411	413	413
