PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	3	3	3	7	7	8	8	8	8	8	13	13	16	16	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	19	19	27	35	35	40	40	40	40	40	43	43	43	43	45	45	50	53	53	56	56	56	58	58	64	64	72	72	78	78	82	90	90	90	97	100	100	106	106	115	115	119	119	119	124	124	128	128	128	133	133	133	138	138	142	142	147	147	150	150	158	158	161	161	161	161	161	161	161	161	161	161	161	162	162	162	164	165	165	165	170	170	170	170	172	172	172	179	179	184	184	187	187	195	195	207	207	207	207	211	211	219	219	225	229	229	231	231	235	237	237	241	241	241	241	241	241	245	245	245	245	245	254	254	254	254	254	254	254	254	254
Dwight Howard	https://cdn.nba.com/headshots/nba/latest/1040x760/2730.png	LAL	3	3	3	3	3	3	3	7	9	9	9	9	9	9	9	9	9	9	14	14	16	16	16	16	18	18	19	20	20	21	21	23	23	24	24	24	24	24	24	24	24	26	26	26	26	26	26	26	26	26	26	27	27	28	28	28	28	28	28	28	28	28	28	28	30	32	32	32	32	34	34	34	34	34	34	36	36	36	36	36	37	37	37	39	39	39	40	40	42	42	45	45	47	47	47	47	47	47	47	47	47	47	47	47	49	52	52	52	52	52	52	52	52	52	52	52	52	52	54	54	54	58	58	58	58	58	58	60	60	60	60	61	61	61	61	61	61	61	61	61	63	63	68	68	68	68	68	74	74	74	74	76	76	76	76	78	80	80	82	88	88	91	96	96	96
Chris Paul	https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png	PHX	0	1	1	11	11	11	11	11	15	15	15	17	17	17	19	19	21	21	26	26	28	28	30	30	33	33	34	41	41	44	44	46	46	51	51	51	58	65	66	66	66	66	66	70	74	74	74	75	75	75	75	77	77	77	78	81	81	81	81	81	81	81	82	82	83	88	88	93	93	95	95	95	95	95	95	95	95	97	97	99	99	99	101	101	101	103	103	105	105	105	105	107	107	109	109	112	112	116	116	123	123	124	124	133	133	136	136	137	137	141	142	142	149	149	149	149	149	151	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	160	160	160	160	160	160	163	163	166	166	167	167	167	167	169	169	169
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	3	3	3	13	13	15	21	21	26	26	33	33	35	35	35	39	39	42	42	48	57	57	63	63	66	66	79	79	84	87	87	87	87	87	97	97	102	102	111	111	111	120	120	120	132	134	134	134	137	137	137	143	143	157	157	165	165	171	171	171	171	171	171	171	171	171	171	171	171	171	175	175	179	179	187	187	194	194	202	202	207	215	215	225	225	225	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	237	237	237	246	246	247	247	249	249	249	260	260	267	272	272	286	286	286	289	289	299	299	299	308	314	314	323	323	326	326	335	335	344	352	352	362	362	372
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	4	4	4	7	7	8	11	11	14	14	30	30	32	32	32	33	33	37	37	42	45	45	49	49	60	60	65	65	75	87	87	106	106	106	110	110	118	118	122	122	122	131	131	131	143	146	146	146	152	166	166	170	170	170	170	170	170	170	170	170	170	170	170	170	170	183	183	188	188	188	202	202	215	215	222	222	230	230	233	233	239	239	239	247	256	256	263	263	273	273	277	277	284	284	288	288	297	297	297	297	297	297	297	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	304	312	312	322	322	322	330	330	341	341	341	346	346	346	348	348	348	361	372	372	382	382	391	391	398	398	398	407	407	418	418	426	426	436	436	444	444	446	457	458	458	464	464	470	470
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	9	9	14	14	14	19	19	26	26	33	33	33	33	33	33	33	33	37	37	37	50	50	56	56	57	57	64	64	68	68	69	69	69	76	76	76	77	79	79	81	81	82	82	82	83	91	91	99	99	99	99	99	102	102	107	108	108	108	117	117	117	117	117	117	129	137	137	137	143	143	143	143	149	149	151	151	154	154	154	154	158	158	167	167	169	170	170	170	170	172	172	181	187	187	189	189	191	191	194	194	200	200	207	207	207	209	209	209	209	211	211	214	222	222	231	231	234	234	238	238	244	244	244	246	246	255	255	256	256	256	256	256	260	260	267	267	267	267	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275	275
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	0	0	8	15	15	25	25	25	30	30	36	36	40	40	51	51	51	61	61	68	68	71	71	80	80	90	96	96	103	103	115	115	124	126	126	131	137	143	143	147	147	147	157	157	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	175	179	179	179	179	179	184	189	189	193	193	204	211	211	218	218	218	218	223	223	225	225	229	234	234	241	250	250	254	254	256	256	273	273	284	284	284	290	290	295	295	299	299	302	302	316	325	325	334	340	340	347	347	354	368	368	376	376	381	381	386	386	395	395	399	399	399	401	406	406	406	417	417	429	429	429	436	436	443	443	446	446	453	453	453	456	456	456	456	456	460	460	472	479	479	493	493	506	506	514	517	517	520	520	520
Jonas Valanciunas	https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png	NOP	0	2	2	4	12	12	20	20	24	24	27	33	33	33	35	37	37	40	40	40	40	40	46	46	54	54	54	57	57	60	60	61	63	63	66	66	72	73	73	73	75	75	79	79	83	83	86	86	86	88	88	91	91	93	93	93	95	95	97	97	97	97	99	99	99	99	99	99	105	105	105	105	105	105	109	114	114	118	118	118	123	123	130	130	132	132	133	133	135	135	135	136	136	136	136	140	140	140	140	140	140	140	142	147	147	147	148	148	155	155	158	158	162	162	164	164	170	174	174	174	174	178	178	182	182	182	184	184	184	184	184	184	186	194	194	196	196	203	203	203	203	203	204	204	209	210	210	210	216	216	219	224	224	224	227	227	231	231	231	231	231	235	235	237	237
Jimmy Butler	https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png	MIA	0	0	9	9	13	13	19	19	24	24	31	41	41	41	56	56	60	60	65	65	74	74	79	79	79	79	79	79	79	89	99	99	106	106	106	113	119	119	125	125	125	125	125	125	125	125	125	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	134	134	143	143	143	154	154	156	162	162	162	162	162	162	162	162	162	162	162	171	177	177	184	184	186	186	188	188	193	193	193	201	201	217	225	225	225	235	235	238	238	245	245	250	250	250	261	261	266	266	266	279	279	283	283	288	300	300	307	307	309	309	309	317	317	324	324	324	324	334	334	334	334	338	338	338	338	338	338	349	349	353	353	360	363	363	367	367	373	373	373	379	379	386	386	386	396	396	396
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	2	2	2	12	12	17	17	22	28	28	28	28	30	30	35	35	42	42	42	42	48	48	51	51	59	59	63	71	71	71	71	78	78	86	86	91	91	96	96	98	98	99	99	99	106	106	106	106	109	109	112	112	112	112	112	112	116	116	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	119	119	122	122	122	128	128	128	138	144	144	146	146	146	152	153	153	153	159	159	159	159	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	167	167	173	174	174	174	174	174	174
