PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
Brook Lopez	https://cdn.nba.com/headshots/nba/latest/1040x760/201572.png	MIL	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	6	6	6	8	8	9	9	11	11	11	12	12	12	12	12	13	14	14	17	19	19	19
George Hill	https://cdn.nba.com/headshots/nba/latest/1040x760/201588.png	MIL	2	2	2	2	3	3	3	3	4	4	4	6	7	7	8	8	8	9	9	9	9	11	12	12	13	13	13	13	13	13	13	14	14	14	14	14	18	18	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	22	22	23	23	23	23	23	23	24	25	25	25	25	25	26	26	26	26	27	27	27	27	27	27	27	27	27	27	28	28	28	28	29	29	29	29	31	34	34	34	34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	36	36	37	37	37	38	38	38	38
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	3	3	3	4	4	6	7	7	7	7	8	8	8	8	8	8	8	8	8	13	13	13	14	14	14	14	15	15	15	15	15	16	16	16	17	17	18	18	20	20	20	22	22	22	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	25	25	25	25	25	28	28	30	30	32	32	32	32	32	32	32	32	32	33	34	34	35	35	37	37	37	37	38	38	38	38	41	41	41	41	41	41	41	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	43	43	43	43	43	43	43	43	43	43	44	44	44	45	45	45	46	46	46	46	46	46	46	46	46	46	47	47	48	48	49	49	49	49	49	49	51	55	55	55	55	55	55	55
Nemanja Bjelica	https://cdn.nba.com/headshots/nba/latest/1040x760/202357.png	GSW	2	2	3	3	3	5	5	5	5	6	6	8	8	8	8	8	8	9	9	10	10	10	12	12	13	13	13	13	13	13	13	15	15	15	15	15	15	17	17	18	18	19	19	19	21	21	21	21	21	23	23	23	24	24	24	24	24	24	25	27	27	30	30	30	30	30	30	30	31	31	31	31	31	31	32	32	33	33	33	33	33	33	33	33	34	34	34	34	34	38	38	39	39	39	40	40	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	43	43	44	44	44	44	45	45	45	45	45	46	46	46	46	46	46	46	46	46	47	47	47	47	48	48	48	48	48	48	48	48	51	51	51	51	51	51	51	51	52	52	53	53	53	54	56	56	56	58	58	59	62
Jonas Valanciunas	https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png	NOP	0	5	5	6	9	9	18	18	24	24	29	33	33	33	35	36	36	41	41	41	42	42	45	45	49	49	49	50	50	51	51	56	61	61	65	65	69	71	73	73	80	80	81	81	83	83	87	87	87	92	92	96	96	102	102	102	108	108	110	110	110	110	114	114	114	114	114	114	118	118	118	118	118	118	122	126	126	128	128	128	130	130	133	133	135	135	138	138	140	140	140	141	141	141	141	146	146	146	146	146	146	146	152	158	158	158	159	159	160	160	161	161	163	163	164	164	165	167	167	171	171	175	175	175	175	175	175	175	176	176	180	180	180	185	185	186	186	190	190	193	193	193	194	194	198	204	204	204	207	207	212	214	214	214	219	219	220	220	223	223	223	226	226	226	226
Nikola Vucevic	https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png	CHI	0	5	5	6	8	8	9	9	9	9	9	9	9	11	11	13	13	13	15	15	18	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	22	25	25	26	26	26	29	29	29	29	30	30	33	33	33	33	33	33	33	33	33	33	33	37	38	38	38	38	38	39	43	43	46	46	48	49	49	51	51	51	51	55	55	58	58	61	63	63	65	66	66	68	68	71	71	71	71	74	79	79	80	80	82	82	83	83	84	84	88	91	91	93	97	97	98	98	98	103	103	103	103	106	106	107	107	108	108	109	109	109	111	113	113	113	113	113	113	113	113	115	115	116	116	117	117	120	120	120	127	128	128	128	128	129	129	131	132	132	137	137	139	139	140	141	141	142	142	142
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	2	2	2	7	7	10	10	17	21	21	23	23	29	29	30	30	36	36	39	39	41	41	46	46	48	48	53	54	54	56	56	57	57	58	58	61	61	62	62	62	62	64	64	64	69	69	69	69	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	75	75	78	78	78	80	80	80	83	90	90	97	97	97	101	101	101	101	103	103	103	103	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	105	106	106	106	106	106	106
Andre Drummond	https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png	PHI	0	2	2	5	5	5	5	10	10	10	10	11	11	15	15	17	22	22	22	22	30	37	37	42	42	50	50	50	51	51	51	51	51	51	58	58	61	61	62	62	68	68	71	71	74	74	74	76	76	79	79	79	82	82	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	91	91	91	91	93	93	97	97	100	100	100	104	104	104	104	107	107	107	108	108	109	109	113	113	116	116	117	117	119	119	119	119	129	129	131	131	133	133	134	134	136	136	136	136	136	136	139	139	144	147	149	149	153	153	156	156	156	157	157	157	160	160	162	162	165	165	165	168	168	170	178	178	184	184	184	184	184	186	186	186	193	200	200	204	204	206	206	212	212	217	220	220	225	225	229
Harrison Barnes	https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png	SAC	0	2	2	7	7	10	10	10	13	13	14	14	17	17	18	19	19	19	19	19	21	21	22	22	22	22	22	22	22	24	24	24	25	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	27	27	29	31	31	31	31	32	32	33	33	34	35	35	35	35	35	37	37	38	39	39	40	40	40	40	40	41	41	42	42	44	45	45	46	46	46	46	46	46	46	46	46	46	47	47	47	49	49	49	49	50	50	52	52	54	55	55	56	56	56	57	57	57	57	58	58	61	61	61	61	62	62	64	64	66	66	67	69	69	70	70	70	70	71	71	71	72	72	73	73	74	74	75	75	76	76	76	76	76	76	76	76	76	76	77	77	78	78	81	82	82	82	82	82	82
Draymond Green	https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png	GSW	3	3	3	3	3	5	5	6	6	7	7	7	7	7	7	8	8	12	12	13	17	17	19	19	20	20	20	20	20	20	21	21	21	21	21	21	21	22	22	22	22	25	25	25	25	26	26	27	27	29	29	29	29	29	31	33	33	33	33	33	33	34	34	34	34	36	36	36	36	36	36	36	36	36	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	39	39	39	39	39	41	41	43	43	43	44	44	44	44	45	45	45	45	45	45	45
