PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	5	5	5	9	9	10	10	10	10	10	11	11	11	11	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	17	17	18	18	18	20	24	24	25	25	25	25	25	27	27	27	27	29	29	30	32	32	34	34	34	35	35	40	40	45	45	46	46	48	50	50	50	53	54	54	55	55	57	57	60	60	60	64	64	68	68	68	70	70	70	70	70	71	71	72	72	75	75	79	79	80	80	80	80	80	80	80	80	80	80	80	83	83	83	87	88	88	88	91	91	91	91	92	92	92	93	93	95	95	97	97	99	99	99	99	99	99	100	100	103	103	103	107	107	112	112	114	117	117	117	117	117	117	117	117	118	118	118	118	118	121	121	121	121	121	121	121	121	121
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	4	4	4	9	9	12	12	17	21	21	23	23	27	27	28	28	30	30	33	33	36	36	41	41	42	42	45	48	48	51	51	56	56	60	60	62	65	68	68	70	70	72	72	72	76	76	76	76	78	78	82	83	83	85	85	85	87	87	90	90	94	94	97	97	100	105	105	105	106	111	111	113	113	118	118	120	120	120	126	126	128	128	128	131	131	131	132	132	135	135	139	139	142	142	147	147	150	150	151	155	155	156	156	156	161	161	161	163	163	163	164	164	164	164	168	168	168	168	170	170	170	173	173	176	176	179	179	183	183	188	188	193	193	195	195	198	198	199	201	201	204	204	206	209	209	213	213	215	215	215	215	217	217	220	220	222	228	228	233	235	235	235	235	235	235
George Hill	https://cdn.nba.com/headshots/nba/latest/1040x760/201588.png	MIL	5	5	7	7	9	9	14	14	15	15	15	15	16	16	17	17	17	20	20	21	21	23	24	24	27	27	27	27	27	28	28	32	34	34	34	34	35	36	36	39	39	39	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	42	42	42	42	42	43	44	47	47	47	47	47	47	47	47	47	48	48	48	48	48	48	48	48	48	48	49	49	51	51	54	54	55	55	55	55	55	55	55	56	56	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	58	58	58	59	59	59	60	60	60	60	61	61	61	62	62	63	63	63	66	66	66	69	70	70	70
Danny Green	https://cdn.nba.com/headshots/nba/latest/1040x760/201980.png	PHI	0	3	3	8	8	9	9	9	9	11	11	14	14	16	16	16	16	16	16	16	16	18	18	20	20	23	23	23	23	23	23	23	23	23	23	23	24	24	24	24	25	25	28	28	33	33	33	33	33	37	38	38	39	39	39	39	42	44	44	44	44	47	47	47	47	47	47	47	47	47	47	47	47	47	49	49	50	50	50	50	50	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	53	53	56	56	59	59	62	62	62	62	62	62	62	62	62	65	65	68	68	69	69	72	72	72	74	74	75	79	79	79	79	79	79	79	79	79	79	79	82	82	85	85	85	86	86	86	86	87	87	91	91	94	94	96	96	96	97	97	97	100	100	103	105
Hassan Whiteside	https://cdn.nba.com/headshots/nba/latest/1040x760/202355.png	UTA	0	5	5	7	7	7	7	11	11	15	15	18	19	19	22	22	24	24	29	32	32	36	36	37	37	40	40	40	42	42	43	43	46	46	50	50	51	56	62	62	64	64	64	64	67	67	67	67	67	67	67	67	69	69	69	69	73	73	76	79	79	81	81	81	83	86	86	86	86	89	89	91	91	91	91	91	91	91	96	101	101	103	103	103	103	103	103	103	103	103	103	103	103	103	103	105	105	110	110	114	114	118	118	118	118	118	120	120	120	126	126	128	128	130	130	130	133	133	136	136	136	138	138	139	139	139	143	143	147	147	149	151	151	155	155	159	163	163	165	165	166	166	166	166	166	168	168	170	170	170	170	170	170	170	170	170	170	170	170	173	176	176	178	178	179
Jonas Valanciunas	https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png	NOP	0	4	4	6	11	11	16	16	18	18	24	25	25	25	27	28	28	30	30	30	34	34	36	36	40	45	45	49	49	54	54	54	57	57	62	62	64	68	70	70	72	72	74	74	79	79	83	83	83	87	87	89	89	92	92	92	94	94	97	97	97	97	101	101	101	101	101	101	104	104	104	104	104	104	107	111	111	114	114	114	115	115	118	118	120	120	124	124	128	128	128	133	133	133	133	137	137	137	137	137	137	137	140	141	141	141	146	146	152	152	158	158	161	161	163	163	166	171	171	174	174	175	175	179	179	179	184	184	189	189	195	195	195	198	198	201	201	204	204	206	206	206	210	210	213	217	217	217	220	220	224	228	228	228	232	232	237	237	238	238	238	242	242	247	247
Draymond Green	https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png	GSW	3	3	6	6	6	7	7	12	12	14	14	16	16	16	16	18	18	22	22	26	29	29	29	29	32	32	35	35	38	38	39	39	39	40	40	40	44	47	47	51	51	54	54	54	56	57	57	60	60	62	62	62	67	67	71	74	74	74	79	79	79	82	82	82	86	87	87	87	87	87	87	87	87	87	91	91	93	93	93	93	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	96	96	98	98	98	98	102	102	105	105	105	108	108	112	112	112	116	116	116	120	126	126	126	131	131	135	136
Khris Middleton	https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png	MIL	3	3	5	5	5	5	5	5	9	9	9	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	15	15	16	18	18	18	18	18	20	20	23	23	23	26	27	27	29	29	32	32	36	36	37	37	40	44	44	44	44	44	44	44	44	44	47	50	51	51	51	52	52	56	56	56	56	58	58	62	62	64	68	68	71	71	71	72	72	73	73	78	78	81	81	83	87	87	87	87	91	91	96	96	96	96	99	99	99	99	101	104	104	109	109	111	111	111	111	114	116	116	119	119	119	123	123	123	123	124	124	128	128	130	130	132	133	133	133	136	136	138	138	140	140	140	142	142	142	142	142	142	142	144	144	144	144	144	148	148	148	153	158	158	159	160	160	160
Kent Bazemore	https://cdn.nba.com/headshots/nba/latest/1040x760/203145.png	LAL	4	4	4	7	7	11	11	14	18	18	20	20	23	23	28	28	29	29	32	32	32	32	35	35	37	37	37	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	44	44	49	49	49	49	49	49	49	49	49	49	49	49	49	50	50	50	50	50	50	50	50	50	51	51	51	51	51	51	53	53	53	53	53	53	53	53	53	53	53	53	53	55	55	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	59	59	61	61	61	61	61	61	63	63	63	63	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	68	68	68	68	68	68	68	68	70	70	70	70
Mason Plumlee	https://cdn.nba.com/headshots/nba/latest/1040x760/203486.png	CHA	0	3	3	5	5	6	7	7	11	11	12	12	15	18	18	20	20	26	26	26	32	32	38	38	41	41	44	44	44	46	46	51	53	53	59	59	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	62	62	64	64	67	70	70	70	73	73	73	75	75	79	79	79	79	80	83	83	85	85	85	90	90	93	93	98	98	103	103	103	107	107	108	108	110	110	113	113	118	122	122	127	127	128	128	128	132	132	138	138	138	140	140	143	143	145	151	151	151	156	156	158	158	160	160	164	168	168	171	171	171	174	174	174	177	180	180	184	184	184	185	185	189	189	189	193	193	194	194	196	196	199	199	203	208	208	210	210	210	212	212	216	216	218	221	221	224
