PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
Andre Iguodala	https://cdn.nba.com/headshots/nba/latest/1040x760/2738.png	GSW	8	8	15	15	15	15	15	23	23	14	14	24	24	24	24	32	32	58	58	58	69	69	88	88	107	107	96	96	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	89	89	89	92	92	92	102	102	102	118	118	118	118	118	118	118	109	109	109	109	121	121	121	121	121	122	122	122	137	137	125	125	104	116	116	90	90	90	90	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	116	116	115	115	115	96	96	96	96	112	112	108	108
Chris Paul	https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png	PHX	0	-23	-23	-17	-46	-46	-46	-46	-56	-56	-56	-38	-38	-38	-22	-22	-10	-10	16	16	23	23	27	27	47	47	72	59	59	60	60	70	70	77	63	63	86	93	92	92	92	113	113	115	101	101	101	105	105	105	105	125	125	125	110	116	116	130	130	130	154	154	168	168	166	161	161	156	156	156	156	160	160	194	194	217	217	221	221	211	211	211	227	227	227	242	242	265	262	262	262	286	286	298	298	305	305	303	303	307	307	321	321	341	341	337	337	367	367	362	365	365	385	385	406	406	406	418	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	414	414	414	439	439	439	441	441	430	430	420	442	442	442	460	460	460
Kyle Lowry	https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png	MIA	0	0	22	22	22	22	34	34	41	41	52	73	73	73	82	82	72	72	81	81	61	61	61	55	55	53	53	56	56	56	69	69	71	71	71	82	85	85	90	90	79	79	57	57	64	44	44	29	29	37	37	37	63	63	52	52	57	57	58	58	45	45	59	59	62	62	62	62	62	62	62	72	72	84	86	86	93	93	93	120	120	120	120	130	130	149	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	142	142	153	153	173	173	173	193	193	200	200	200	186	186	196	196	205	202	202	202	202	202	202	202	202	202	218	218	212	212	218	211	211	211	215	215	215	240	240	240	233	233	231	231	222	195	195	217	217	230	230	230	240	248	248	248	248	250	250	250
P.J. Tucker	https://cdn.nba.com/headshots/nba/latest/1040x760/200782.png	MIA	0	0	31	31	24	24	31	31	55	55	53	70	70	70	83	83	75	75	66	66	55	55	59	50	50	64	64	71	71	86	93	93	94	94	94	80	57	57	50	50	39	39	17	17	21	7	7	-6	-6	4	4	4	29	29	29	29	25	25	31	31	30	30	30	30	30	30	30	30	30	30	30	30	30	30	26	26	31	31	31	46	46	46	46	59	59	78	75	75	82	82	89	89	90	90	98	98	98	135	135	155	142	142	142	142	142	155	155	167	167	179	179	179	185	185	196	196	196	187	187	214	214	215	207	207	225	225	206	206	206	209	209	224	224	205	205	223	198	198	198	212	212	212	228	228	228	233	233	226	226	223	198	198	220	220	224	224	224	232	232	229	229	229	229	229	229
Mike Conley	https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png	UTA	0	16	16	17	17	17	17	29	29	31	31	31	28	28	37	37	55	55	52	52	52	50	50	48	48	34	34	34	55	55	88	88	89	89	102	102	97	86	99	99	120	120	120	120	141	141	147	147	147	153	162	162	172	172	172	172	177	177	184	184	184	197	197	197	219	227	227	235	235	250	250	250	250	250	274	274	284	284	284	293	293	303	303	298	298	298	298	319	320	320	321	321	312	312	318	318	318	314	314	327	327	317	317	317	317	317	336	336	336	352	352	351	351	346	346	346	364	364	339	339	339	333	333	318	318	318	314	314	297	297	297	289	289	314	314	312	312	312	315	315	319	319	346	346	346	336	336	325	325	329	329	309	309	317	317	331	331	344	344	345	345	345	340	340	356
Derrick Rose	https://cdn.nba.com/headshots/nba/latest/1040x760/201565.png	NYK	0	7	7	41	41	49	49	59	59	60	60	59	59	66	66	64	64	95	95	75	85	85	95	95	110	110	110	131	131	120	120	120	115	113	113	113	113	113	113	113	113	124	124	110	110	108	108	108	116	107	107	115	115	108	108	98	98	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
George Hill	https://cdn.nba.com/headshots/nba/latest/1040x760/201588.png	MIL	-6	-6	-18	-18	-10	-10	-12	-12	-8	-8	-8	-11	-4	-4	21	21	21	17	17	17	17	33	53	53	58	58	58	58	58	81	81	71	90	90	122	122	135	148	148	164	164	164	173	168	168	168	168	168	168	168	168	168	168	178	178	178	185	185	191	199	199	199	199	215	226	222	222	222	239	239	250	250	268	268	279	279	279	279	279	279	279	279	279	279	291	291	284	284	287	287	300	300	308	319	319	319	319	313	313	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	311	310	310	315	315	315	308	308	308	324	324	333	333	319	319	319	312	312	317	296	296	294	297	297	302	309	309	309
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	4	4	1	1	1	15	15	30	30	42	42	59	59	59	59	58	58	75	75	91	122	122	133	133	164	164	178	178	194	194	204	204	204	223	223	223	252	270	270	284	284	268	268	268	278	281	281	290	290	306	306	306	297	297	314	327	327	327	317	317	317	333	333	333	348	372	372	372	377	377	377	377	381	381	381	381	381	381	381	381	404	404	403	403	378	402	402	402	402	423	423	419	421	421	416	416	439	439	452	452	448	448	466	466	466	487	487	487	487	491	491	477	486	486	494	494	475	475	473	473	492	492	492	488	488	478	478	470	470	458	458	458	464	464	482	482	496	496	513	513	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	5	5	20	39	39	46	46	46	38	38	53	53	57	57	69	69	69	68	68	81	81	101	101	88	88	102	119	119	125	125	121	121	142	124	124	137	152	145	145	151	151	151	148	148	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	153	163	163	163	163	163	150	157	157	175	175	193	205	205	219	219	219	219	224	224	212	212	239	215	215	184	195	195	179	179	189	189	190	190	193	193	193	195	195	189	189	205	205	220	220	222	227	227	224	201	201	193	193	212	208	208	223	223	232	232	233	233	232	232	213	213	213	205	184	184	184	173	173	181	181	181	193	193	193	193	169	169	145	145	145	158	142	142	142	142	141	141	133	143	143	162	162	143	143	126	108	108	77	77	77
Jrue Holiday	https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png	MIL	17	17	17	17	23	23	23	23	23	23	23	23	23	23	23	23	23	11	11	11	11	20	29	29	20	20	3	3	3	-1	-1	6	21	21	58	58	87	115	115	138	138	138	133	136	136	162	162	174	174	163	163	173	173	179	172	172	191	191	189	189	189	189	189	216	218	237	237	237	241	241	250	250	268	268	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	261	261	260	252	252	252	252	246	246	264	264	244	244	263	263	263	263	299	327	327	334	334	311	311	311	311	287	302	302	290	290	290	272	272	302	302	314	314	317	317	331	331	341	348	348	348	332	332	337	337	348	348	348	330	330	330	340	340	355	355	355	355	355	366	366	375	375	375	370	389	389	399	427	427	427
