PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	11	11	11	13	13	19	19	19	19	19	22	22	29	29	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	39	39	40	40	40	45	52	52	57	57	57	57	57	68	68	68	68	72	72	82	87	87	98	98	98	101	101	111	111	125	125	132	132	141	150	150	150	160	173	173	187	187	194	194	199	199	199	207	207	216	216	216	223	223	223	232	232	239	239	251	251	258	258	269	269	276	276	276	276	276	276	276	276	276	276	276	289	289	289	294	301	301	301	316	316	316	316	324	324	324	335	335	341	341	353	353	361	361	371	371	371	371	385	385	392	392	399	408	408	413	413	422	432	432	442	442	442	442	442	442	451	451	451	451	451	459	459	459	459	459	459	459	459	459
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	11	11	11	26	26	31	39	39	50	50	61	61	62	62	62	69	69	79	79	86	97	97	102	102	109	109	117	117	122	126	126	126	126	126	132	132	136	136	145	145	145	150	150	150	160	170	170	170	177	177	177	182	182	189	189	202	202	213	213	213	213	213	213	213	213	213	213	213	213	213	219	219	228	228	231	231	239	239	248	248	252	262	262	264	264	264	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	271	271	271	277	277	280	280	294	294	294	300	300	305	311	311	317	317	317	326	326	337	337	337	340	348	348	359	359	366	366	373	373	382	392	392	397	397	407
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	8	8	8	15	15	22	28	28	35	35	43	43	53	53	53	57	57	67	67	77	85	85	96	96	101	101	107	107	111	121	121	131	131	131	137	137	144	144	157	157	157	167	167	167	174	181	181	181	190	201	201	206	206	206	206	206	206	206	206	206	206	206	206	206	206	216	216	224	224	224	238	238	250	250	254	254	259	259	268	268	275	275	275	282	289	289	297	297	304	304	312	312	322	322	327	327	339	339	339	339	339	339	339	344	351	351	351	351	351	351	351	351	351	351	351	351	351	351	351	351	351	359	359	369	369	369	378	378	381	381	381	389	389	389	395	395	395	401	410	410	412	412	419	419	428	428	428	435	435	450	450	457	457	462	462	471	471	479	489	492	492	496	496	500	500
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	10	10	20	20	20	27	27	33	33	40	40	45	45	45	45	53	53	56	56	59	66	66	71	71	75	75	81	81	88	88	92	92	92	94	94	94	98	105	105	110	110	113	113	113	118	126	126	129	129	131	131	131	140	140	146	149	149	149	154	154	154	157	157	157	161	165	165	165	169	169	169	169	175	175	178	178	187	187	187	187	192	192	202	202	210	212	212	212	212	215	215	220	224	224	228	228	237	237	245	245	252	252	257	257	257	258	258	258	258	267	267	274	276	276	281	281	283	283	286	286	291	291	291	295	295	300	300	305	305	309	309	309	314	314	323	323	328	328	334	334	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335	335
Nemanja Bjelica	https://cdn.nba.com/headshots/nba/latest/1040x760/202357.png	GSW	11	11	17	17	17	20	20	22	22	26	26	34	34	34	34	36	36	43	43	45	47	47	52	52	55	55	57	57	59	59	62	70	70	71	71	71	71	75	75	77	77	83	83	83	89	90	90	93	93	99	99	99	102	102	104	108	108	108	112	115	115	118	118	118	125	127	127	127	135	135	135	135	139	139	142	142	145	147	147	147	150	150	154	154	155	166	166	167	167	174	174	180	184	184	188	188	198	198	199	199	199	199	199	199	199	199	199	199	199	199	199	199	203	203	205	205	206	206	209	209	209	209	209	214	214	214	214	216	216	216	216	221	225	225	227	227	232	232	237	237	237	237	237	237	246	246	250	256	256	256	256	256	260	260	264	264	264	267	279	279	279	285	285	287	294
Jonas Valanciunas	https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png	NOP	0	12	12	20	37	37	60	60	75	75	88	102	102	102	116	127	127	142	142	142	153	153	168	168	180	189	189	198	198	206	206	219	232	232	238	238	249	259	271	271	286	286	291	291	302	302	312	312	312	323	323	334	334	346	346	346	362	362	369	369	369	369	385	385	385	385	385	385	395	395	395	395	395	395	404	420	420	430	430	430	447	447	459	459	475	475	480	480	494	494	494	504	504	504	504	516	516	516	516	516	516	516	525	538	538	538	545	545	550	550	558	558	567	567	579	579	588	592	592	610	610	627	627	637	637	637	651	651	657	657	671	671	673	688	688	696	696	706	706	718	718	718	730	730	742	760	760	760	779	779	790	802	802	802	813	813	825	825	834	834	834	842	842	843	843
Nikola Vucevic	https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png	CHI	0	15	15	19	38	38	46	46	46	54	54	66	66	76	76	86	86	86	97	97	110	110	120	120	120	120	120	120	120	120	120	120	120	120	120	120	133	141	154	154	168	168	168	175	175	180	180	190	190	202	202	202	210	210	210	210	210	210	210	210	223	229	229	229	229	229	244	261	261	281	281	297	309	309	326	326	326	326	340	340	346	346	354	359	359	373	379	379	389	389	401	401	412	412	425	440	440	455	455	463	463	477	477	490	490	508	525	525	532	544	544	560	560	568	583	583	599	599	609	609	619	619	631	631	638	638	638	649	658	658	658	658	658	664	664	664	678	678	688	688	699	699	706	706	706	719	726	726	735	735	744	744	757	762	762	776	776	786	786	792	799	799	804	804	804
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	11	11	11	25	25	33	33	50	58	58	67	67	80	80	89	89	107	107	110	110	122	122	135	135	143	143	158	164	164	173	173	179	179	189	189	195	195	203	203	213	213	220	220	220	230	230	230	230	246	246	254	254	254	254	254	254	266	266	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	267	269	269	281	281	281	286	286	286	301	318	318	335	335	335	344	351	351	351	358	358	358	358	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	372	372	381	394	394	394	394	394	394
Andre Drummond	https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png	PHI	0	17	17	27	27	27	27	36	36	40	40	45	45	60	60	65	75	75	77	77	102	122	122	134	134	150	150	150	156	156	162	162	166	166	189	189	201	201	204	204	216	216	225	225	232	232	232	235	235	240	243	243	252	252	261	261	265	271	271	271	271	271	271	271	271	271	271	271	271	271	281	281	281	281	288	288	296	296	302	302	302	312	312	320	320	328	332	332	339	339	344	344	355	355	362	362	367	367	377	377	385	385	408	408	411	411	418	418	426	426	433	433	433	433	433	433	442	442	461	470	476	476	488	488	494	494	494	497	497	497	504	504	518	518	525	525	525	535	535	541	558	558	567	567	567	567	567	572	572	572	583	599	599	612	612	622	622	635	635	646	655	655	667	667	680
Draymond Green	https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png	GSW	8	8	14	14	14	20	20	29	29	41	41	52	52	52	52	62	62	70	70	78	85	85	90	90	99	99	105	105	111	111	113	113	113	127	127	127	136	144	144	148	148	159	159	159	168	176	176	183	183	193	193	193	197	197	206	217	217	217	222	222	222	233	233	233	238	246	246	246	246	246	246	246	246	246	254	254	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	264	264	272	272	272	272	278	278	281	281	281	286	286	291	291	291	301	301	301	310	317	317	317	320	320	333	336
