PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	4	4	4	9	9	12	12	12	12	12	19	19	21	21	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	28	28	30	30	30	32	39	39	41	41	41	41	41	44	44	44	44	47	47	52	54	54	60	60	60	62	62	66	66	70	70	72	72	75	78	78	78	81	86	86	86	86	87	87	89	89	89	93	93	96	96	96	97	97	97	98	98	99	99	102	102	108	108	111	111	111	111	111	111	111	111	111	111	111	111	111	114	114	114	118	124	124	124	128	128	128	128	131	131	131	137	137	144	144	148	148	152	152	156	156	156	156	161	161	164	164	168	173	173	178	178	181	183	183	186	186	186	186	186	186	190	190	190	190	190	196	196	196	196	196	196	196	196	196
Rajon Rondo	https://cdn.nba.com/headshots/nba/latest/1040x760/200765.png	LAL	3	3	3	6	6	6	6	8	9	9	9	9	9	9	9	9	12	12	13	13	14	14	14	14	17	17	18	20	20	21	21	22	22	22	22	22	22	22	22	22	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	28	28	32	32	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	35	35	38	41	41	41	41	41	41	41	41	41	41	41	41	41	41	43	43	46	46	46	46	47	48	48	51	51	51	51	53	53	53	54	54	56	56	56	56	56	56	56	62	62	62	62	62	62	62	62	62	62	62	62	63	63	63	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	66	66	66	67	67	68
Kyle Lowry	https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png	MIA	0	0	1	1	1	1	4	4	7	7	9	13	13	13	14	14	20	20	21	21	24	24	28	32	32	37	37	40	40	40	42	42	45	45	45	50	54	54	56	56	57	57	58	58	62	65	65	69	69	75	75	75	77	77	79	79	85	85	90	90	94	94	97	97	98	98	98	98	98	98	98	102	102	103	111	111	112	112	112	114	114	114	114	116	116	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	125	125	125	125	126	126	126	129	129	131	131	131	133	133	136	136	138	140	140	140	140	140	140	140	140	140	142	142	145	145	148	151	151	151	152	152	152	152	152	152	156	156	156	156	157	161	161	161	161	162	162	162	163	165	165	165	165	168	168	168
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	1	1	1	3	3	6	7	7	12	12	19	19	22	22	22	25	25	28	28	34	36	36	42	42	44	44	45	45	47	48	48	48	48	48	50	50	53	53	59	59	59	60	60	60	65	66	66	66	69	69	69	74	74	79	79	83	83	87	87	87	87	87	87	87	87	87	87	87	87	87	91	91	94	94	96	96	99	99	101	101	104	105	105	106	106	106	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	110	110	110	117	117	122	122	127	127	127	132	132	133	137	137	145	145	145	149	149	154	154	154	159	161	161	163	163	169	169	173	173	176	180	180	185	185	191
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	4	4	4	8	8	17	17	20	30	30	34	34	36	36	39	39	43	43	49	49	56	56	64	64	69	69	76	80	80	83	83	85	85	88	88	94	98	101	101	104	104	108	108	108	110	110	110	110	114	114	120	125	125	130	130	130	134	134	135	135	141	141	148	148	153	156	156	156	163	168	168	172	172	181	181	181	181	181	184	184	184	184	184	185	185	185	185	185	187	187	188	188	191	191	194	194	199	199	205	206	206	210	210	210	214	216	216	220	220	220	224	224	224	224	225	225	225	225	231	231	231	231	231	238	238	238	238	240	240	245	245	250	250	252	252	253	253	257	258	258	261	261	265	270	270	271	271	278	278	278	278	281	281	283	283	286	287	287	289	295	295	295	295	295	295
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	4	4	4	9	9	17	19	19	23	23	27	27	32	32	32	35	35	44	44	46	50	50	56	56	62	62	68	68	73	79	79	85	85	85	90	90	93	93	100	100	100	105	105	105	111	111	111	111	116	124	124	130	130	130	130	130	130	130	130	130	130	130	130	130	130	134	134	137	137	137	143	143	147	147	152	152	153	153	158	158	164	164	164	166	169	169	175	175	179	179	187	187	190	190	196	196	202	202	202	202	202	202	202	206	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	214	214	217	217	217	220	220	223	223	223	226	226	226	230	230	230	233	237	237	241	241	243	243	249	249	249	252	252	256	256	258	258	260	260	263	263	268	272	276	276	279	279	284	284
Ricky Rubio	https://cdn.nba.com/headshots/nba/latest/1040x760/201937.png	CLE	0	2	2	8	11	11	13	13	17	17	20	22	22	25	25	26	26	29	29	33	33	33	36	36	39	40	40	43	43	48	53	53	53	53	57	57	59	59	62	62	64	64	67	67	67	67	68	68	68	69	69	72	76	76	77	77	79	79	79	83	83	83	83	87	87	87	89	89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	4	4	10	10	10	13	13	17	17	22	22	24	24	24	24	28	28	29	29	29	31	31	34	34	40	40	43	43	45	45	48	48	48	52	52	52	56	59	59	62	62	64	64	64	67	68	68	71	71	75	75	75	78	78	85	89	89	89	95	95	95	99	99	99	102	103	103	103	109	109	109	109	112	112	114	114	119	119	119	119	124	124	127	127	131	132	132	132	132	133	133	135	137	137	138	138	142	142	146	146	151	151	152	152	152	156	156	156	156	160	160	164	167	167	169	169	173	173	175	175	178	178	178	179	179	183	183	186	186	190	190	190	194	194	196	196	200	200	202	202	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206
Gordon Hayward	https://cdn.nba.com/headshots/nba/latest/1040x760/202330.png	CHA	0	3	3	7	7	12	15	15	19	19	20	20	21	23	23	23	23	24	24	24	28	28	33	33	35	35	35	35	35	35	35	35	37	37	37	37	38	43	44	44	46	46	46	46	46	46	47	47	47	51	51	55	55	55	55	55	56	56	60	60	60	60	60	60	62	62	62	65	65	65	65	65	65	65	65	65	66	66	66	67	67	69	69	71	71	73	73	73	75	75	75	75	76	76	76	76	76	76	76	76	76	76	76	76	76	76	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	81	81	81	81	81	81	81	81
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	3	3	6	6	9	9	13	13	17	17	17	21	21	29	29	35	35	43	43	46	46	49	49	53	56	56	62	62	63	64	64	70	70	73	73	75	75	83	90	90	90	90	93	98	98	102	102	102	102	102	102	102	102	102	102	102	102	102	102	107	107	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	111	111	116	116	116	120	120	122	122	122	126	126
Bradley Beal	https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png	WAS	0	4	4	4	4	4	9	9	14	15	15	19	19	23	23	25	25	30	30	36	36	36	40	40	40	40	40	40	40	42	48	48	54	54	58	58	61	64	67	67	69	69	72	72	73	73	73	74	74	78	78	78	84	84	86	86	89	94	94	96	96	96	96	96	96	96	96	96	96	96	98	98	100	100	104	104	107	107	112	112	114	114	114	114	114	114	114	114	116	116	117	117	126	126	128	128	133	133	133	133	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
Draymond Green	https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png	GSW	5	5	6	6	6	7	7	11	11	16	16	18	18	18	18	21	21	21	21	27	30	30	33	33	35	35	38	38	41	41	43	43	43	44	44	44	48	54	54	58	58	63	63	63	65	69	69	72	72	75	75	75	77	77	80	83	83	83	85	85	85	90	90	90	95	99	99	99	99	99	99	99	99	99	101	101	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	109	109	110	110	110	110	112	112	113	113	113	118	118	121	121	121	125	125	125	128	131	131	131	133	133	137	139
